SubcorticalVolume,Structure,d_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
noAPS<HC,Laccumb,-0.09,-0.26,0.08,,,0.32,
noAPS<HC,Lamyg,0.05,-0.12,0.22,,,0.59,
noAPS<HC,Lcaud,-0.06,-0.23,0.11,,,0.48,
noAPS<HC,Lhippo,0,-0.17,0.17,,,0.98,
noAPS<HC,Lpal,0.05,-0.12,0.22,,,0.54,
noAPS<HC,Lput,-0.02,-0.19,0.15,,,0.81,
noAPS<HC,Lthal,0.09,-0.08,0.26,,,0.31,
noAPS<HC,LLatVent,-0.04,-0.21,0.13,,,0.67,
noAPS<HC,Raccumb,-0.02,-0.19,0.15,,,0.78,
noAPS<HC,Ramyg,0.05,-0.12,0.22,,,0.56,
noAPS<HC,Rcaud,-0.06,-0.23,0.11,,,0.50,
noAPS<HC,Rhippo,-0.09,-0.26,0.08,,,0.28,
noAPS<HC,Rpal,0.07,-0.1,0.24,,,0.40,
noAPS<HC,Rput,0.06,-0.11,0.23,,,0.52,
noAPS<HC,Rthal,0.02,-0.15,-0.19,,,0.79,
noAPS<HC,RLatVent,0.01,-0.16,0.18,,,0.88,
