SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
BIPS<HC,Laccumb,-0.20,,0.41,0.02,,,0.07,
BIPS<HC,Lamyg,-0.06,,-0.27,0.16,,,0.62,
BIPS<HC,Lcaud,-0.07,,-0.29,0.14,,,0.52,
BIPS<HC,Lhippo,-0.16,,-0.37,0.05,,,0.14,
BIPS<HC,Lpal,-0.07,,-0.28,0.14,,,0.53,
BIPS<HC,Lput,-0.09,,-0.3,0.13,,,0.43,
BIPS<HC,Lthal,-0.17,,-0.39,0.04,,,0.11,
BIPS<HC,LLatVent,0.13,,-0.08,0.34,,,0.24,
BIPS<HC,Raccumb,-0.07,,-0.29,0.15,,,0.52,
BIPS<HC,Ramyg,0.02,,-0.2,0.23,,,0.87,
BIPS<HC,Rcaud,-0.11,,-0.32,0.11,,,0.33,
BIPS<HC,Rhippo,-0.18,,-0.39,0.04,,,0.11,
BIPS<HC,Rpal,-0.10,,-0.31,0.11,,,0.36,
BIPS<HC,Rput,-0.06,,-0.28,0.16,,,0.59,
BIPS<HC,Rthal,-0.26,,-0.47,-0.05,,,0.02,
BIPS<HC,RLatVent,-0.12,,-0.33,0.1,,,0.29,
