SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
BIPS<noBIPS,Laccumb,-0.18,,-0.39,0.04,,,0.10,
BIPS<noBIPS,Lamyg,-0.02,,-0.23,0.2,,,0.86,
BIPS<noBIPS,Lcaud,-0.09,,-0.31,0.12,,,0.39,
BIPS<noBIPS,Lhippo,-0.10,,-0.31,0.11,,,0.36,
BIPS<noBIPS,Lpal,-0.05,,-0.26,0.16,,,0.64,
BIPS<noBIPS,Lput,-0.09,,-0.3,0.13,,,0.42,
BIPS<noBIPS,Lthal,-0.13,,-0.35,0.08,,,0.21,
BIPS<noBIPS,LLatVent,0.02,,-0.2,0.23,,,0.88,
BIPS<noBIPS,Raccumb,-0.12,,-0.34,0.09,,,0.25,
BIPS<noBIPS,Ramyg,0.11,,-0.1,0.32,,,0.31,
BIPS<noBIPS,Rcaud,-0.10,,-0.32,0.11,,,0.36,
BIPS<noBIPS,Rhippo,-0.04,,-0.25,0.18,,,0.74,
BIPS<noBIPS,Rpal,-0.09,,-0.3,0.13,,,0.43,
BIPS<noBIPS,Rput,-0.06,,-0.27,0.16,,,0.60,
BIPS<noBIPS,Rthal,-0.19,,-0.4,0.03,,,0.09,
BIPS<noBIPS,RLatVent,-0.19,,-0.4,0.03,,,0.09,
