SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
noBIPS<HC,Laccumb,-0.02,,-0.09,0.05,,,0.63,
noBIPS<HC,Lamyg,-0.04,,-0.11,0.04,,,0.34,
noBIPS<HC,Lcaud,0.02,,-0.05,0.1,,,0.55,
noBIPS<HC,Lhippo,-0.06,,-0.13,0.01,,,0.10,
noBIPS<HC,Lpal,-0.02,,-0.09,0.06,,,0.63,
noBIPS<HC,Lput,0,,-0.07,0.07,,,0.99,
noBIPS<HC,Lthal,-0.04,,-0.11,0.03,,,0.30,
noBIPS<HC,LLatVent,0.11,,0.04,0.19,,,2.86E-03,
noBIPS<HC,Raccumb,0.01,,-0.06,0.08,,,0.81,
noBIPS<HC,Ramyg,-0.09,,-0.16,-0.02,,,0.01,
noBIPS<HC,Rcaud,-0.01,,-0.08,0.1,,,0.55,
noBIPS<HC,Rhippo,-0.14,,-0.21,-0.06,,,2.25E-04,
noBIPS<HC,Rpal,-0.01,,-0.09,0.06,,,0.71,
noBIPS<HC,Rput,0,,-0.07,0.07,,,0.96,
noBIPS<HC,Rthal,-0.08,,-0.15,0,,,0.04,
noBIPS<HC,RLatVent,0.11,,0.04,0.19,,,2.4E-03,
