SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
CHR-PS+<HC,Laccumb,-0.07,,-0.21,0.06,,,0.28,
CHR-PS+<HC,Lamyg,-0.02,,-0.16,0.11,,,0.73,
CHR-PS+<HC,Lcaud,0.04,,-0.09,0.18,,,0.54,
CHR-PS+<HC,Lhippo,-0.03,,-0.17,0.1,,,0.61,
CHR-PS+<HC,Lpal,-0.02,,-0.15,0.12,,,0.82,
CHR-PS+<HC,Lput,-0.03,,-0.16,0.11,,,0.67,
CHR-PS+<HC,Lthal,-0.08,,-0.21,0.06,,,0.26,
CHR-PS+<HC,LLatVent,0.03,,-0.1,0.17,,,0.62,
CHR-PS+<HC,Raccumb,0.01,,-0.13,0.14,,,0.92,
CHR-PS+<HC,Ramyg,-0.07,,-0.21,0.06,,,0.29,
CHR-PS+<HC,Rcaud,0,,-0.14,0.14,,,1,
CHR-PS+<HC,Rhippo,-0.16,,-0.29,-0.02,,,0.02,
CHR-PS+<HC,Rpal,-0.10,,-0.23,0.04,,,0.15,
CHR-PS+<HC,Rput,0.01,,-0.13,0.14,,,0.92,
CHR-PS+<HC,Rthal,-0.14,,-0.27,0,,,0.05,
CHR-PS+<HC,RLatVent,0.06,,-0.08,0.19,,,0.42,
