SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
APS<HC,Laccumb,-0.01,,-0.09,0.06,,,0.76,
APS<HC,Lamyg,-0.04,,-0.12,0.03,,,0.26,
APS<HC,Lcaud,0.02,,-0.06,0.1,,,0.60,
APS<HC,Lhippo,-0.07,,-0.15,0,,,0.07,
APS<HC,Lpal,-0.02,,-0.1,0.05,,,0.55,
APS<HC,Lput,-0.01,,-0.08,0.07,,,0.86,
APS<HC,Lthal,-0.05,,-0.13,0.03,,,0.20,
APS<HC,LLatVent,0.13,,0.05,0.2,,,1.12E-03,
APS<HC,Raccumb,0.01,,-0.07,0.09,,,0.81,
APS<HC,Ramyg,-0.10,,-0.17,-0.02,,,0.01,
APS<HC,Rcaud,-0.02,,-0.1,0.06,,,0.62,
APS<HC,Rhippo,-0.16,,-0.23,-0.08,,,6.45E-05,
APS<HC,Rpal,-0.03,,-0.1,0.05,,,0.52,
APS<HC,Rput,-0.02,,-0.09,0.06,,,0.67,
APS<HC,Rthal,-0.09,,-0.17,-0.02,,,0.02,
APS<HC,RLatVent,0.11,,0.04,0.19,,,3.65E-03,
