SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
APS<GRD,Laccumb,0.06,,0.27,-0.15,,,0.57,
APS<GRD,Lamyg,-0.08,,0.12,-0.29,,,0.42,
APS<GRD,Lcaud,0.04,,0.25,-0.17,,,0.69,
APS<GRD,Lhippo,-0.09,,0.11,-0.3,,,0.38,
APS<GRD,Lpal,-0.10,,0.11,-0.3,,,0.36,
APS<GRD,Lput,0.06,,0.26,-0.15,,,0.60,
APS<GRD,Lthal,-0.18,,0.03,-0.38,,,0.10,
APS<GRD,LLatVent,0.18,,0.39,-0.02,,,0.08,
APS<GRD,Raccumb,0.02,,0.23,-0.19,,,0.84,
APS<GRD,Ramyg,-0.10,,0.11,-0.3,,,0.36,
APS<GRD,Rcaud,0.01,,0.22,-0.2,,,0.93,
APS<GRD,Rhippo,-0.10,,0.11,-0.31,,,0.34,
APS<GRD,Rpal,-0.18,,0.03,-0.38,,,0.10,
APS<GRD,Rput,-0.05,,0.15,-0.26,,,0.62,
APS<GRD,Rthal,-0.17,,0.03,-0.38,,,0.10,
APS<GRD,RLatVent,0.01,,0.21,-0.2,,,0.95,
