SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
BIPS<HC,Laccumb,-0.10,,-0.38,0.19,,,0.51,
BIPS<HC,Lamyg,0.08,,-0.2,0.37,,,0.56,
BIPS<HC,Lcaud,-0.14,,-0.43,0.15,,,0.35,
BIPS<HC,Lhippo,-0.07,,-0.35,0.22,,,0.65,
BIPS<HC,Lpal,0.02,,-0.26,0.3,,,0.88,
BIPS<HC,Lput,0.04,,-0.24,0.33,,,0.78,
BIPS<HC,Lthal,0.04,,-0.25,0.32,,,0.80,
BIPS<HC,LLatVent,-0.02,,-0.31,0.27,,,0.88,
BIPS<HC,Raccumb,-0.03,,-0.32,0.25,,,0.82,
BIPS<HC,Ramyg,0.19,,-0.09,0.47,,,0.19,
BIPS<HC,Rcaud,-0.11,,-0.39,0.18,,,0.45,
BIPS<HC,Rhippo,-0.20,,-0.48,0.08,,,0.17,
BIPS<HC,Rpal,-0.09,,-0.37,0.19,,,0.53,
BIPS<HC,Rput,0.10,,-0.19,0.4,,,0.48,
BIPS<HC,Rthal,-0.09,,-0.37,0.19,,,0.53,
BIPS<HC,RLatVent,-0.18,,-0.47,0.11,,,0.22,
