SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
GRD<BIPS,Laccumb,0.03,,-0.32,0.37,,,0.89,
GRD<BIPS,Lamyg,-0.05,,-0.39,0.3,,,0.80,
GRD<BIPS,Lcaud,0.12,,-0.22,0.47,,,0.51,
GRD<BIPS,Lhippo,0.09,,-0.25,0.43,,,0.63,
GRD<BIPS,Lpal,0.05,,-0.29,0.39,,,0.77,
GRD<BIPS,Lput,-0.11,,-0.45,0.24,,,0.55,
GRD<BIPS,Lthal,0.09,,-0.25,0.43,,,0.62,
GRD<BIPS,LLatVent,-0.03,,-0.38,0.31,,,0.86,
GRD<BIPS,Raccumb,0.02,,-0.32,0.37,,,0.90,
GRD<BIPS,Ramyg,-0.20,,-0.54,0.14,,,0.27,
GRD<BIPS,Rcaud,0.08,,-0.26,0.43,,,0.65,
GRD<BIPS,Rhippo,0.15,,-0.2,0.49,,,0.42,
GRD<BIPS,Rpal,0.25,,-0.1,0.59,,,0.17,
GRD<BIPS,Rput,-0.07,,-0.42,0.28,,,0.69,
GRD<BIPS,Rthal,0.17,,-0.17,0.51,,,0.34,
GRD<BIPS,RLatVent,0.33,,-0.02,0.68,,,0.10,
