Subcortical Volume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
psychosisvsCN,Laccumb,-0.04,,-0.11,0.03,,,0.29,0.42
psychosisvsCN,Lamyg,-0.04,,-0.11,0.03,,,0.3,0.43
psychosisvsCN,Lcaud,0.02,,-0.05,0.09,,,0.6,0.72
psychosisvsCN,Lhippo,-0.08,,-0.15,-0.01,,,0.02,0.06
psychosisvsCN,Lpal,-0.02,,-0.09,0.05,,,0.63,0.75
psychosisvsCN,Lput,0,,-0.08,0.07,,,0.89,0.92
psychosisvsCN,Lthal,-0.05,,-0.12,0.02,,,0.19,0.3
psychosisvsCN,LLatVent,0.11,,0.04,0.18,,,2.18E-03,0.01
psychosisvsCN,Raccumb,-0.01,,-0.08,0.06,,,0.84,0.89
psychosisvsCN,Ramyg,-0.08,,-0.15,-0.01,,,0.03,0.07
psychosisvsCN,Rcaud,-0.01,,-0.08,0.06,,,0.72,0.81
psychosisvsCN,Rhippo,-0.16,,-0.23,-0.08,,,1.78E-05,3.45E-04
psychosisvsCN,Rpal,-0.02,,-0.09,0.05,,,0.66,0.77
psychosisvsCN,Rput,-0.01,,-0.08,0.06,,,0.85,0.89
psychosisvsCN,Rthal,-0.09,,-0.16,0.01,,,0.02,0.05
psychosisvsCN,RLatVent,0.1,,0.03,0.17,,,5.08E-03,0.02
