Surface Area,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
schizotypy_noSAC,L_bankssts,0.009,0.019,-0.028,0.047,,2682,0.627,0.916
schizotypy_noSAC,L_caudalanteriorcingulate,-0.005,0.022,-0.048,0.039,,2812,0.834,0.936
schizotypy_noSAC,L_caudalmiddlefrontal,-0.009,0.021,-0.050,0.033,,2815,0.685,0.924
schizotypy_noSAC,L_cuneus,-0.018,0.020,-0.058,0.021,,2717,0.364,0.916
schizotypy_noSAC,L_entorhinal,-0.024,0.019,-0.063,0.014,,2683,0.209,0.916
schizotypy_noSAC,L_fusiform,-0.036,0.019,-0.072,0.001,,2798,0.059,0.916
schizotypy_noSAC,L_inferiorparietal,-0.007,0.019,-0.044,0.030,,2757,0.712,0.931
schizotypy_noSAC,L_inferiortemporal,-0.010,0.019,-0.047,0.027,,2771,0.590,0.916
schizotypy_noSAC,L_isthmuscingulate,0.008,0.019,-0.028,0.045,,2826,0.659,0.924
schizotypy_noSAC,L_lateraloccipital,-0.033,0.019,-0.070,0.003,,2794,0.075,0.916
schizotypy_noSAC,L_lateralorbitofrontal,-0.005,0.019,-0.042,0.032,,2801,0.783,0.936
schizotypy_noSAC,L_lingual,0.002,0.025,-0.048,0.052,,2778,0.932,0.949
schizotypy_noSAC,L_medialorbitofrontal,-0.027,0.032,-0.089,0.035,,2790,0.398,0.916
schizotypy_noSAC,L_middletemporal,0.013,0.019,-0.025,0.050,,2691,0.514,0.916
schizotypy_noSAC,L_parahippocampal,-0.051,0.019,-0.087,-0.014,,2815,0.007,0.253
schizotypy_noSAC,L_paracentral,0.021,0.028,-0.035,0.076,,2825,0.465,0.916
schizotypy_noSAC,L_parsopercularis,0.010,0.019,-0.026,0.047,,2803,0.580,0.916
schizotypy_noSAC,L_parsorbitalis,0.012,0.019,-0.025,0.049,,2813,0.521,0.916
schizotypy_noSAC,L_parstriangularis,-0.018,0.019,-0.055,0.019,,2801,0.344,0.916
schizotypy_noSAC,L_pericalcarine,-0.018,0.024,-0.065,0.028,,2751,0.439,0.916
schizotypy_noSAC,L_postcentral,0.015,0.019,-0.022,0.052,,2771,0.431,0.916
schizotypy_noSAC,L_posteriorcingulate,0.013,0.019,-0.024,0.049,,2822,0.504,0.916
schizotypy_noSAC,L_precentral,-0.017,0.019,-0.054,0.019,,2787,0.355,0.916
schizotypy_noSAC,L_precuneus,0.008,0.034,-0.059,0.074,,2815,0.823,0.936
schizotypy_noSAC,L_rostralanteriorcingulate,-0.020,0.020,-0.060,0.020,,2803,0.334,0.916
schizotypy_noSAC,L_rostralmiddlefrontal,0.009,0.019,-0.028,0.045,,2814,0.648,0.924
schizotypy_noSAC,L_superiorfrontal,0.003,0.029,-0.053,0.059,,2807,0.920,0.949
schizotypy_noSAC,L_superiorparietal,0.023,0.027,-0.030,0.076,,2779,0.398,0.916
schizotypy_noSAC,L_superiortemporal,0.008,0.023,-0.037,0.053,,2665,0.736,0.935
schizotypy_noSAC,L_supramarginal,0.033,0.026,-0.017,0.083,,2705,0.194,0.916
schizotypy_noSAC,L_frontalpole,-0.006,0.024,-0.054,0.042,,2830,0.800,0.936
schizotypy_noSAC,L_temporalpole,-0.024,0.023,-0.070,0.021,,2791,0.298,0.916
schizotypy_noSAC,L_transversetemporal,-0.016,0.019,-0.053,0.021,,2831,0.391,0.916
schizotypy_noSAC,L_insula,-0.021,0.024,-0.068,0.025,,2757,0.368,0.916
schizotypy_noSAC,R_bankssts,0.019,0.027,-0.035,0.073,,2768,0.486,0.916
schizotypy_noSAC,R_caudalanteriorcingulate,-0.017,0.019,-0.054,0.019,,2824,0.353,0.916
schizotypy_noSAC,R_caudalmiddlefrontal,-0.027,0.019,-0.063,0.010,,2812,0.156,0.916
