CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
schizotypy_noTC,L_bankssts,0.016,0.029,-0.040,0.073,,2746,0.567,0.969
schizotypy_noTC,L_caudalanteriorcingulate,0.017,0.019,-0.019,0.054,,2884,0.356,0.969
schizotypy_noTC,L_caudalmiddlefrontal,-0.004,0.031,-0.064,0.057,,2886,0.907,0.969
schizotypy_noTC,L_cuneus,-0.004,0.026,-0.055,0.047,,2777,0.878,0.969
schizotypy_noTC,L_entorhinal,-0.022,0.019,-0.059,0.016,,2755,0.257,0.969
schizotypy_noTC,L_fusiform,-0.028,0.023,-0.073,0.018,,2870,0.237,0.969
schizotypy_noTC,L_inferiorparietal,-0.012,0.019,-0.049,0.025,,2828,0.524,0.969
schizotypy_noTC,L_inferiortemporal,-0.010,0.019,-0.047,0.026,,2843,0.577,0.969
schizotypy_noTC,L_isthmuscingulate,-0.022,0.027,-0.075,0.032,,2898,0.422,0.969
schizotypy_noTC,L_lateraloccipital,0.030,0.025,-0.019,0.079,,2866,0.236,0.969
schizotypy_noTC,L_lateralorbitofrontal,0.004,0.027,-0.048,0.056,,2873,0.878,0.969
schizotypy_noTC,L_lingual,-0.018,0.019,-0.055,0.020,,2842,0.357,0.969
schizotypy_noTC,L_medialorbitofrontal,0.051,0.022,0.008,0.095,,2862,0.021,0.246
schizotypy_noTC,L_middletemporal,-0.013,0.019,-0.050,0.024,,2756,0.493,0.969
schizotypy_noTC,L_parahippocampal,0.012,0.028,-0.043,0.067,,2888,0.669,0.969
schizotypy_noTC,L_paracentral,-0.040,0.021,-0.082,0.001,,2897,0.057,0.514
schizotypy_noTC,L_parsopercularis,-0.005,0.024,-0.052,0.042,,2875,0.838,0.969
schizotypy_noTC,L_parsorbitalis,0.003,0.019,-0.033,0.040,,2885,0.868,0.969
schizotypy_noTC,L_parstriangularis,-0.014,0.034,-0.080,0.052,,2873,0.685,0.969
schizotypy_noTC,L_pericalcarine,-0.020,0.025,-0.068,0.029,,2811,0.426,0.969
schizotypy_noTC,L_postcentral,-0.017,0.027,-0.070,0.036,,2838,0.521,0.969
schizotypy_noTC,L_posteriorcingulate,0.023,0.019,-0.013,0.060,,2896,0.208,0.969
schizotypy_noTC,L_precentral,-0.022,0.022,-0.064,0.020,,2855,0.307,0.969
schizotypy_noTC,L_precuneus,-0.003,0.023,-0.047,0.042,,2887,0.899,0.969
schizotypy_noTC,L_rostralanteriorcingulate,0.036,0.019,-0.001,0.072,,2875,0.056,0.514
schizotypy_noTC,L_rostralmiddlefrontal,-0.012,0.024,-0.059,0.035,,2886,0.620,0.969
schizotypy_noTC,L_superiorfrontal,-0.010,0.019,-0.046,0.027,,2879,0.597,0.969
schizotypy_noTC,L_superiorparietal,-0.023,0.020,-0.063,0.016,,2851,0.252,0.969
schizotypy_noTC,L_superiortemporal,-0.002,0.028,-0.056,0.052,,2733,0.945,0.991
schizotypy_noTC,L_supramarginal,-0.027,0.019,-0.064,0.010,,2775,0.149,0.969
schizotypy_noTC,L_frontalpole,0.044,0.018,0.008,0.080,,2902,0.017,0.233
schizotypy_noTC,L_temporalpole,0.020,0.019,-0.017,0.056,,2864,0.290,0.969
schizotypy_noTC,L_transversetemporal,0.035,0.021,-0.007,0.077,,2903,0.101,0.779
schizotypy_noTC,L_insula,0.000,0.025,-0.048,0.049,,2829,0.997,0.997
schizotypy_noTC,R_bankssts,0.026,0.027,-0.026,0.079,,2840,0.327,0.969
schizotypy_noTC,R_caudalanteriorcingulate,0.024,0.029,-0.033,0.081,,2897,0.412,0.969
schizotypy_noTC,R_caudalmiddlefrontal,-0.002,0.022,-0.046,0.042,,2884,0.927,0.981
schizotypy_noTC,R_cuneus,-0.012,0.024,-0.059,0.035,,2793,0.618,0.969
schizotypy_noTC,R_entorhinal,0.003,0.021,-0.038,0.044,,2685,0.893,0.969
schizotypy_noTC,R_fusiform,0,0.024,-0.046,0.046,,2877,0.991,0.997
schizotypy_noTC,R_inferiorparietal,0.008,0.028,-0.047,0.062,,2828,0.784,0.969
schizotypy_noTC,R_inferiortemporal,-0.020,0.029,-0.077,0.037,,2855,0.495,0.969
schizotypy_noTC,R_isthmuscingulate,-0.047,0.019,-0.084,-0.011,,2890,0.011,0.164
schizotypy_noTC,R_lateraloccipital,0.006,0.028,-0.048,0.060,,2868,0.830,0.969
schizotypy_noTC,R_lateralorbitofrontal,0.007,0.032,-0.056,0.069,,2853,0.835,0.969
schizotypy_noTC,R_lingual,-0.023,0.027,-0.075,0.029,,2843,0.386,0.969
schizotypy_noTC,R_medialorbitofrontal,0.061,0.019,0.025,0.097,,2847,0.001,0.037
schizotypy_noTC,R_middletemporal,0.023,0.029,-0.033,0.078,,2832,0.430,0.969
schizotypy_noTC,R_parahippocampal,-0.005,0.024,-0.052,0.043,,2897,0.848,0.969
schizotypy_noTC,R_paracentral,-0.019,0.029,-0.076,0.038,,2894,0.515,0.969
schizotypy_noTC,R_parsopercularis,0.004,0.019,-0.032,0.041,,2859,0.813,0.969
schizotypy_noTC,R_parsorbitalis,-0.010,0.030,-0.068,0.049,,2882,0.745,0.969
schizotypy_noTC,R_parstriangularis,0.001,0.019,-0.036,0.038,,2853,0.958,0.995
schizotypy_noTC,R_pericalcarine,0.019,0.032,-0.044,0.082,,2795,0.558,0.969
schizotypy_noTC,R_postcentral,-0.024,0.024,-0.071,0.024,,2852,0.326,0.969
schizotypy_noTC,R_posteriorcingulate,0.013,0.018,-0.024,0.049,,2900,0.493,0.969
schizotypy_noTC,R_precentral,-0.041,0.028,-0.096,0.015,,2859,0.153,0.969
schizotypy_noTC,R_precuneus,-0.014,0.031,-0.074,0.046,,2886,0.653,0.969
schizotypy_noTC,R_rostralanteriorcingulate,0.030,0.024,-0.017,0.076,,2853,0.209,0.969
schizotypy_noTC,R_rostralmiddlefrontal,-0.002,0.019,-0.039,0.034,,2867,0.903,0.969
schizotypy_noTC,R_superiorfrontal,-0.001,0.024,-0.047,0.045,,2881,0.974,0.997
schizotypy_noTC,R_superiorparietal,-0.016,0.028,-0.071,0.039,,2866,0.571,0.969
schizotypy_noTC,R_superiortemporal,0.011,0.023,-0.034,0.056,,2802,0.644,0.969
schizotypy_noTC,R_supramarginal,0,0.019,-0.037,0.037,,2794,0.990,0.997
schizotypy_noTC,R_frontalpole,0.049,0.018,0.012,0.085,,2894,0.008,0.152
schizotypy_noTC,R_temporalpole,0.017,0.024,-0.029,0.063,,2820,0.466,0.969
schizotypy_noTC,R_transversetemporal,0.011,0.023,-0.035,0.057,,2905,0.637,0.969
schizotypy_noTC,R_insula,-0.014,0.026,-0.064,0.036,,2797,0.582,0.969
