Region,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
schizotypy_SmokingCN,L_bankssts,-0.050,0.029,-0.106,0.006,,1201,0.082,0.921
schizotypy_SmokingCN,L_caudalanteriorcingulate,0.017,0.038,-0.058,0.093,,1288,0.651,0.965
schizotypy_SmokingCN,L_caudalmiddlefrontal,-0.004,0.072,-0.145,0.137,,1295,0.958,0.977
schizotypy_SmokingCN,L_cuneus,-0.010,0.049,-0.106,0.086,,1266,0.841,0.965
schizotypy_SmokingCN,L_entorhinal,-0.023,0.035,-0.092,0.045,,1221,0.504,0.965
schizotypy_SmokingCN,L_fusiform,-0.062,0.043,-0.146,0.022,,1299,0.145,0.965
schizotypy_SmokingCN,L_inferiorparietal,-0.020,0.028,-0.075,0.034,,1296,0.462,0.965
schizotypy_SmokingCN,L_inferiortemporal,-0.049,0.028,-0.103,0.006,,1281,0.082,0.921
schizotypy_SmokingCN,L_isthmuscingulate,-0.020,0.037,-0.092,0.052,,1300,0.578,0.965
schizotypy_SmokingCN,L_lateraloccipital,-0.021,0.048,-0.116,0.074,,1301,0.661,0.965
schizotypy_SmokingCN,L_lateralorbitofrontal,-0.004,0.041,-0.084,0.076,,1303,0.925,0.965
schizotypy_SmokingCN,L_lingual,-0.014,0.035,-0.083,0.056,,1295,0.701,0.965
schizotypy_SmokingCN,L_medialorbitofrontal,0.046,0.028,-0.008,0.100,,1291,0.095,0.921
schizotypy_SmokingCN,L_middletemporal,-0.017,0.028,-0.072,0.039,,1238,0.549,0.965
schizotypy_SmokingCN,L_parahippocampal,-0.009,0.028,-0.063,0.046,,1302,0.754,0.965
schizotypy_SmokingCN,L_paracentral,-0.042,0.061,-0.162,0.078,,1300,0.494,0.965
schizotypy_SmokingCN,L_parsopercularis,-0.048,0.034,-0.116,0.019,,1292,0.162,0.965
schizotypy_SmokingCN,L_parsorbitalis,-0.007,0.028,-0.062,0.047,,1297,0.792,0.965
schizotypy_SmokingCN,L_parstriangularis,-0.038,0.072,-0.179,0.104,,1295,0.603,0.965
schizotypy_SmokingCN,L_pericalcarine,0.005,0.043,-0.080,0.090,,1279,0.913,0.965
schizotypy_SmokingCN,L_postcentral,-0.054,0.066,-0.184,0.076,,1283,0.414,0.965
schizotypy_SmokingCN,L_posteriorcingulate,0.003,0.028,-0.052,0.057,,1299,0.924,0.965
schizotypy_SmokingCN,L_precentral,-0.015,0.036,-0.085,0.055,,1286,0.673,0.965
schizotypy_SmokingCN,L_precuneus,-0.031,0.028,-0.085,0.023,,1303,0.259,0.965
schizotypy_SmokingCN,L_rostralanteriorcingulate,0.025,0.028,-0.030,0.079,,1286,0.376,0.965
schizotypy_SmokingCN,L_rostralmiddlefrontal,0.005,0.028,-0.050,0.059,,1297,0.864,0.965
schizotypy_SmokingCN,L_superiorfrontal,-0.014,0.039,-0.090,0.062,,1288,0.720,0.965
schizotypy_SmokingCN,L_superiorparietal,-0.034,0.036,-0.104,0.036,,1295,0.344,0.965
schizotypy_SmokingCN,L_superiortemporal,-0.048,0.033,-0.113,0.017,,1204,0.148,0.965
schizotypy_SmokingCN,L_supramarginal,-0.032,0.028,-0.087,0.024,,1257,0.263,0.965
schizotypy_SmokingCN,L_frontalpole,0.042,0.055,-0.066,0.150,,1303,0.442,0.965
schizotypy_SmokingCN,L_temporalpole,0.006,0.046,-0.084,0.096,,1300,0.897,0.965
schizotypy_SmokingCN,L_transversetemporal,0.021,0.066,-0.109,0.150,,1303,0.756,0.956
schizotypy_SmokingCN,L_insula,0.014,0.028,-0.041,0.069,,1265,0.624,0.965
schizotypy_SmokingCN,R_bankssts,-0.046,0.028,-0.101,0.009,,1263,0.099,0.921
schizotypy_SmokingCN,R_caudalanteriorcingulate,0.064,0.052,-0.038,0.165,,1298,0.219,0.965
schizotypy_SmokingCN,R_caudalmiddlefrontal,-0.001,0.028,-0.055,0.053,,1300,0.970,0.977
schizotypy_SmokingCN,R_cuneus,-0.037,0.059,-0.152,0.078,,1272,0.532,0.965
schizotypy_SmokingCN,R_entorhinal,-0.018,0.051,-0.117,0.081,,1194,0.724,0.965
schizotypy_SmokingCN,R_fusiform,-0.048,0.028,-0.102,0.006,,1302,0.080,0.921
schizotypy_SmokingCN,R_inferiorparietal,0.005,0.052,-0.096,0.106,,1292,0.926,0.965
schizotypy_SmokingCN,R_inferiortemporal,-0.030,0.043,-0.113,0.054,,1295,0.482,0.965
schizotypy_SmokingCN,R_isthmuscingulate,-0.051,0.028,-0.105,0.003,,1297,0.067,0.921
schizotypy_SmokingCN,R_lateraloccipital,-0.018,0.050,-0.117,0.080,,1299,0.717,0.965
schizotypy_SmokingCN,R_lateralorbitofrontal,-0.025,0.052,-0.127,0.077,,1300,0.634,0.965
schizotypy_SmokingCN,R_lingual,-0.021,0.052,-0.123,0.081,,1292,0.683,0.965
