Region,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
schizotypy_SSG,L_bankssts,-0.034,0.029,-0.090,0.022,,1212,0.239,0.958
schizotypy_SSG,L_caudalanteriorcingulate,0.006,0.046,-0.084,0.096,,1300,0.902,0.960
schizotypy_SSG,L_caudalmiddlefrontal,-0.013,0.075,-0.160,0.135,,1307,0.864,0.960
schizotypy_SSG,L_cuneus,-0.010,0.049,-0.107,0.087,,1276,0.840,0.960
schizotypy_SSG,L_entorhinal,-0.017,0.033,-0.082,0.049,,1233,0.614,0.958
schizotypy_SSG,L_fusiform,-0.068,0.049,-0.163,0.028,,1311,0.166,0.958
schizotypy_SSG,L_inferiorparietal,-0.034,0.043,-0.118,0.051,,1308,0.433,0.958
schizotypy_SSG,L_inferiortemporal,-0.045,0.028,-0.099,0.010,,1293,0.109,0.958
schizotypy_SSG,L_isthmuscingulate,0.004,0.041,-0.075,0.084,,1312,0.915,0.964
schizotypy_SSG,L_lateraloccipital,-0.011,0.046,-0.102,0.080,,1313,0.819,0.960
schizotypy_SSG,L_lateralorbitofrontal,-0.014,0.039,-0.089,0.062,,1315,0.724,0.958
schizotypy_SSG,L_lingual,-0.011,0.032,-0.073,0.051,,1306,0.728,0.958
schizotypy_SSG,L_medialorbitofrontal,0.037,0.029,-0.020,0.093,,1303,0.203,0.958
schizotypy_SSG,L_middletemporal,-0.012,0.028,-0.067,0.043,,1250,0.668,0.958
schizotypy_SSG,L_parahippocampal,-0.020,0.041,-0.101,0.060,,1313,0.616,0.958
schizotypy_SSG,L_paracentral,-0.049,0.063,-0.171,0.074,,1312,0.435,0.958
schizotypy_SSG,L_parsopercularis,-0.053,0.049,-0.149,0.043,,1304,0.280,0.958
schizotypy_SSG,L_parsorbitalis,-0.013,0.028,-0.067,0.042,,1309,0.649,0.958
schizotypy_SSG,L_parstriangularis,-0.048,0.076,-0.196,0.101,,1307,0.531,0.958
schizotypy_SSG,L_pericalcarine,0.006,0.041,-0.073,0.086,,1291,0.874,0.960
schizotypy_SSG,L_postcentral,-0.064,0.071,-0.203,0.075,,1294,0.367,0.958
schizotypy_SSG,L_posteriorcingulate,0.000,0.028,-0.054,0.054,,1311,0.997,0.997
schizotypy_SSG,L_precentral,-0.028,0.044,-0.115,0.058,,1298,0.521,0.958
schizotypy_SSG,L_precuneus,-0.035,0.029,-0.093,0.022,,1315,0.230,0.958
schizotypy_SSG,L_rostralanteriorcingulate,0.023,0.028,-0.031,0.077,,1298,0.403,0.958
schizotypy_SSG,L_rostralmiddlefrontal,0.001,0.028,-0.053,0.055,,1309,0.975,0.985
schizotypy_SSG,L_superiorfrontal,-0.031,0.046,-0.121,0.059,,1300,0.504,0.958
schizotypy_SSG,L_superiorparietal,-0.066,0.053,-0.170,0.038,,1306,0.211,0.958
schizotypy_SSG,L_superiortemporal,-0.054,0.043,-0.138,0.030,,1214,0.209,0.958
schizotypy_SSG,L_supramarginal,-0.041,0.042,-0.124,0.042,,1268,0.330,0.958
schizotypy_SSG,L_frontalpole,0.037,0.057,-0.074,0.148,,1315,0.510,0.958
schizotypy_SSG,L_temporalpole,0.014,0.046,-0.077,0.104,,1312,0.767,0.958
schizotypy_SSG,L_transversetemporal,0.025,0.065,-0.103,0.153,,1315,0.701,0.958
schizotypy_SSG,L_insula,0.001,0.028,-0.054,0.056,,1277,0.969,0.985
schizotypy_SSG,R_bankssts,-0.045,0.028,-0.100,0.009,,1275,0.105,0.958
schizotypy_SSG,R_caudalanteriorcingulate,0.040,0.062,-0.082,0.162,,1310,0.520,0.958
schizotypy_SSG,R_caudalmiddlefrontal,-0.010,0.028,-0.064,0.044,,1312,0.713,0.958
schizotypy_SSG,R_cuneus,-0.020,0.055,-0.128,0.088,,1283,0.717,0.958
schizotypy_SSG,R_entorhinal,-0.019,0.049,-0.116,0.078,,1204,0.703,0.958
schizotypy_SSG,R_fusiform,-0.051,0.033,-0.115,0.013,,1314,0.119,0.958
schizotypy_SSG,R_inferiorparietal,-0.005,0.062,-0.127,0.116,,1304,0.929,0.968
schizotypy_SSG,R_inferiortemporal,-0.034,0.041,-0.115,0.047,,1307,0.415,0.958
schizotypy_SSG,R_isthmuscingulate,-0.046,0.028,-0.100,0.008,,1309,0.097,0.958
schizotypy_SSG,R_lateraloccipital,-0.011,0.055,-0.148,0.069,,1311,0.476,0.958
schizotypy_SSG,R_lateralorbitofrontal,-0.039,0.055,-0.148,0.069,,1312,0.476,0.958
schizotypy_SSG,R_lingual,-0.021,0.050,-0.119,0.077,,1303,0.677,0.958
schizotypy_SSG,R_medialorbitofrontal,0.061,0.027,0.007,0.115,,1303,0.027,0.958
schizotypy_SSG,R_middletemporal,-0.029,0.028,-0.083,0.025,,1303,0.293,0.958
schizotypy_SSG,R_parahippocampal,-0.039,0.059,-0.154,0.077,,1317,0.511,0.958
schizotypy_SSG,R_paracentral,-0.012,0.063,-0.135,0.112,,1309,0.854,0.960
schizotypy_SSG,R_parsopercularis,0.005,0.041,-0.076,0.087,,1306,0.896,0.960
schizotypy_SSG,R_parsorbitalis,-0.027,0.028,-0.081,0.027,,1313,0.323,0.958
schizotypy_SSG,R_parstriangularis,-0.014,0.040,-0.094,0.065,,1302,0.721,0.958
schizotypy_SSG,R_pericalcarine,0.009,0.047,-0.083,0.101,,1279,0.846,0.960
schizotypy_SSG,R_postcentral,-0.062,0.039,-0.138,0.014,,1291,0.112,0.958
schizotypy_SSG,R_posteriorcingulate,0.017,0.028,-0.037,0.071,,1313,0.533,0.958
schizotypy_SSG,R_precentral,-0.047,0.054,-0.152,0.058,,1297,0.382,0.958
schizotypy_SSG,R_precuneus,-0.027,0.055,-0.136,0.081,,1312,0.621,0.958
schizotypy_SSG,R_rostralanteriorcingulate,0.019,0.041,-0.062,0.100,,1289,0.641,0.958
schizotypy_SSG,R_rostralmiddlefrontal,-0.001,0.028,-0.055,0.053,,1309,0.965,0.985
schizotypy_SSG,R_superiorfrontal,-0.015,0.044,-0.102,0.072,,1306,0.734,0.958
schizotypy_SSG,R_superiorparietal,-0.055,0.052,-0.157,0.048,,1309,0.295,0.958
schizotypy_SSG,R_superiortemporal,-0.047,0.059,-0.163,0.070,,1258,0.433,0.958
schizotypy_SSG,R_supramarginal,-0.029,0.028,-0.084,0.025,,1278,0.293,0.958
schizotypy_SSG,R_frontalpole,0.018,0.028,-0.036,0.072,,1308,0.520,0.958
schizotypy_SSG,R_temporalpole,-0.007,0.045,-0.096,0.082,,1306,0.874,0.960
schizotypy_SSG,R_transversetemporal,-0.042,0.044,-0.128,0.044,,1317,0.336,0.958
schizotypy_SSG,R_insula,-0.023,0.065,-0.152,0.105,,1252,0.721,0.958
