Subcortical volume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
schizotypy_CM,Laccumb,0.012,0.020,-0.027,0.052,,2965,0.547,0.923
schizotypy_CM,Lamyg,0.010,0.018,-0.026,0.045,,2972,0.601,0.923
schizotypy_CM,Lcaud,0.017,0.024,-0.029,0.064,,2981,0.460,0.923
schizotypy_CM,Lhippo,0.014,0.018,-0.022,0.050,,2970,0.443,0.923
schizotypy_CM,Lpal,-0.023,0.019,-0.060,0.014,,2762,0.226,0.923
schizotypy_CM,Lput,-0.012,0.018,-0.048,0.024,,2934,0.522,0.923
schizotypy_CM,Lthal,0.007,0.030,-0.051,0.066,,2966,0.806,0.967
schizotypy_CM,LLatVent,0.002,0.023,-0.043,0.046,,2990,0.939,0.985
schizotypy_CM,Raccumb,0.020,0.023,-0.025,0.064,,2963,0.388,0.923
schizotypy_CM,Ramyg,0.019,0.024,-0.029,0.067,,2960,0.444,0.923
schizotypy_CM,Rcaud,0.013,0.027,-0.039,0.065,,2982,0.625,0.923
schizotypy_CM,Rhippo,0.022,0.018,-0.014,0.058,,2978,0.229,0.923
schizotypy_CM,Rpal,-0.032,0.018,-0.067,0.004,,2970,0.084,0.923
schizotypy_CM,Rput,0.000,0.018,-0.036,0.036,,2965,0.985,0.985
schizotypy_CM,Rthal,0.014,0.031,-0.047,0.075,,2986,0.654,0.923
schizotypy_CM,RLatVent,0.001,0.019,-0.036,0.039,,2990,0.944,0.985
