CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
SCZ_case_vs_controls,L_bankssts,-0.35200000000000004,0.04,,,5002,4343,5.96e-19,2.61e-18
SCZ_case_vs_controls,L_caudalanteriorcingulate,-0.11900000000000001,0.036000000000000004,,,5053,4423,0.000897,0.000923
SCZ_case_vs_controls,L_caudalmiddlefrontal,-0.363,0.055,,,5053,4410,3.9500000000000006e-11,6.44e-11
SCZ_case_vs_controls,L_cuneus,-0.203,0.045,,,5012,4354,4.92e-06,5.47e-06
SCZ_case_vs_controls,L_entorhinal,-0.203,0.039,,,4942,4304,2.5e-07,3.02e-07
SCZ_case_vs_controls,L_fusiform,-0.491,0.045,,,5012,4368,6.880000000000001e-28,1.6e-26
SCZ_case_vs_controls,L_inferiorparietal,-0.36200000000000004,0.047,,,4985,4308,1.91e-14,4.62e-14
SCZ_case_vs_controls,L_inferiortemporal,-0.449,0.048,,,5005,4344,4.920000000000001e-21,2.87e-20
SCZ_case_vs_controls,L_isthmuscingulate,-0.309,0.05,,,5056,4421,5.98e-10,8.05e-10
SCZ_case_vs_controls,L_lateraloccipital,-0.331,0.052000000000000005,,,5026,4369,1.79e-10,2.56e-10
SCZ_case_vs_controls,L_lateralorbitofrontal,-0.39799999999999996,0.045,,,5056,4424,5.31e-19,2.48e-18
SCZ_case_vs_controls,L_lingual,-0.349,0.046,,,5048,4420,4.72e-14,1.0699999999999999e-13
SCZ_case_vs_controls,L_medialorbitofrontal,-0.231,0.048,,,5040,4418,1.24e-06,1.4e-06
SCZ_case_vs_controls,L_middletemporal,-0.444,0.054000000000000006,,,4982,4305,1.38e-16,4.4000000000000005e-16
SCZ_case_vs_controls,L_parahippocampal,-0.27699999999999997,0.042,,,5039,4403,5.81e-11,9.03e-11
SCZ_case_vs_controls,L_paracentral,-0.253,0.04,,,5051,4421,3.2599999999999996e-10,4.5600000000000003e-10
SCZ_case_vs_controls,L_parsopercularis,-0.375,0.045,,,5041,4388,1.21e-16,4.04e-16
SCZ_case_vs_controls,L_parsorbitalis,-0.319,0.047,,,5032,4392,1.46e-11,2.62e-11
SCZ_case_vs_controls,L_parstriangularis,-0.341,0.046,,,5024,4372,8.64e-14,1.8899999999999998e-13
SCZ_case_vs_controls,L_pericalcarine,-0.077,0.05,,,5054,4428,0.124,0.124
SCZ_case_vs_controls,L_postcentral,-0.261,0.042,,,5041,4412,5.18e-10,7.109999999999999e-10
SCZ_case_vs_controls,L_posteriorcingulate,-0.298,0.031,,,5057,4424,6.76e-22,4.73e-21
SCZ_case_vs_controls,L_precentral,-0.34299999999999997,0.044000000000000004,,,5052,4408,8.679999999999999e-15,2.25e-14
SCZ_case_vs_controls,L_precuneus,-0.301,0.046,,,5040,4401,5.6600000000000004e-11,9e-11
SCZ_case_vs_controls,L_rostralanteriorcingulate,-0.182,0.04,,,5047,4416,6.86e-06,7.51e-06
SCZ_case_vs_controls,L_rostralmiddlefrontal,-0.36200000000000004,0.055999999999999994,,,5036,4376,7.04e-11,1.0699999999999999e-10
SCZ_case_vs_controls,L_superiorfrontal,-0.425,0.057999999999999996,,,5051,4416,2.27e-13,4.810000000000001e-13
SCZ_case_vs_controls,L_superiorparietal,-0.209,0.042,,,5008,4354,4.81e-07,5.61e-07
