CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
TLEMTS-L_vs_CTL,L_bankssts,-0.1,0.11199999999999999,-0.319,0.11900000000000001,1279,383,0.37200000000000005,0.37200000000000005
TLEMTS-L_vs_CTL,L_caudalanteriorcingulate,0.18100000000000002,0.06,0.064,0.299,1343,411,0.003,0.003
TLEMTS-L_vs_CTL,L_caudalmiddlefrontal,-0.40299999999999997,0.07,-0.539,-0.266,1344,412,7.070000000000001e-09,7.070000000000001e-09
TLEMTS-L_vs_CTL,L_cuneus,-0.19,0.127,-0.43799999999999994,0.059000000000000004,1342,412,0.134,0.134
TLEMTS-L_vs_CTL,L_entorhinal,-0.445,0.07200000000000001,-0.586,-0.303,1102,303,7.349999999999999e-10,7.349999999999999e-10
TLEMTS-L_vs_CTL,L_fusiform,-0.359,0.069,-0.495,-0.223,1339,412,2.19e-07,2.19e-07
TLEMTS-L_vs_CTL,L_inferiorparietal,-0.242,0.129,-0.496,0.011000000000000001,1333,410,0.061,0.061
TLEMTS-L_vs_CTL,L_inferiortemporal,-0.207,0.075,-0.353,-0.06,1342,412,0.006,0.006
TLEMTS-L_vs_CTL,L_isthmuscingulate,-0.021,0.079,-0.175,0.134,1343,411,0.7909999999999999,0.7909999999999999
TLEMTS-L_vs_CTL,L_lateraloccipital,-0.311,0.15,-0.606,-0.016,1344,412,0.039,0.039
TLEMTS-L_vs_CTL,L_lateralorbitofrontal,-0.06,0.073,-0.20199999999999999,0.083,1343,412,0.41100000000000003,0.41100000000000003
TLEMTS-L_vs_CTL,L_lingual,-0.35200000000000004,0.133,-0.612,-0.092,1343,412,0.008,0.008
TLEMTS-L_vs_CTL,L_medialorbitofrontal,0.040999999999999995,0.08199999999999999,-0.11900000000000001,0.20199999999999999,1344,412,0.613,0.613
TLEMTS-L_vs_CTL,L_middletemporal,-0.287,0.095,-0.473,-0.10099999999999999,1241,386,0.002,0.002
TLEMTS-L_vs_CTL,L_parahippocampal,-0.3,0.073,-0.444,-0.157,1335,410,3.9500000000000005e-05,3.9500000000000005e-05
TLEMTS-L_vs_CTL,L_paracentral,-0.426,0.099,-0.62,-0.23199999999999998,1344,412,1.6100000000000002e-05,1.6100000000000002e-05
TLEMTS-L_vs_CTL,L_parsopercularis,-0.2,0.095,-0.386,-0.013999999999999999,1342,411,0.035,0.035
TLEMTS-L_vs_CTL,L_parsorbitalis,-0.15,0.092,-0.33,0.03,1344,412,0.102,0.102
TLEMTS-L_vs_CTL,L_parstriangularis,-0.282,0.09300000000000001,-0.46299999999999997,-0.10099999999999999,1344,411,0.002,0.002
TLEMTS-L_vs_CTL,L_pericalcarine,-0.198,0.122,-0.43799999999999994,0.042,1344,411,0.105,0.105
TLEMTS-L_vs_CTL,L_postcentral,-0.327,0.13699999999999998,-0.596,-0.059000000000000004,1341,411,0.017,0.017
TLEMTS-L_vs_CTL,L_posteriorcingulate,-0.012,0.06,-0.129,0.106,1344,411,0.845,0.845
TLEMTS-L_vs_CTL,L_precentral,-0.466,0.081,-0.625,-0.308,1339,412,8.640000000000002e-09,8.640000000000002e-09
TLEMTS-L_vs_CTL,L_precuneus,-0.536,0.135,-0.8009999999999999,-0.271,1343,412,7.35e-05,7.35e-05
TLEMTS-L_vs_CTL,L_rostralanteriorcingulate,0.061,0.07,-0.077,0.19899999999999998,1342,411,0.38799999999999996,0.38799999999999996
