CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p,,
TLEMTS-R_vs_CTL,L_bankssts,-0.218858574,0.149971758,-0.512797818,0.07508067,1228,322,0.144473773,2.03E-01,,
TLEMTS-R_vs_CTL,L_caudalanteriorcingulate,-0.022123014,0.077972734,-0.174946764,0.130700736,1287,337,0.776619167,8.37E-01,,
TLEMTS-R_vs_CTL,L_caudalmiddlefrontal,-0.300518981,0.097941233,-0.49248027,-0.108557691,1292,338,0.00215237,8.21E-03,,
TLEMTS-R_vs_CTL,L_cuneus,-0.286509144,0.136514962,-0.554073553,-0.018944735,1290,338,0.035839999,7.16E-02,,
TLEMTS-R_vs_CTL,L_entorhinal,-0.113841429,0.075339079,-0.261503311,0.033820453,1050,252,0.130774652,2.00E-01,,
TLEMTS-R_vs_CTL,L_fusiform,-0.160962436,0.06391738,-0.286238199,-0.035686673,1287,337,0.011792651,3.10E-02,,
TLEMTS-R_vs_CTL,L_inferiorparietal,-0.236242122,0.125827095,-0.482858697,0.010374453,1281,336,0.060447692,1.01E-01,,
TLEMTS-R_vs_CTL,L_inferiortemporal,-0.05846299,0.063797756,-0.183504294,0.066578314,1290,338,0.359467603,4.37E-01,,
TLEMTS-R_vs_CTL,L_isthmuscingulate,0.081219129,0.079117344,-0.073848017,0.236286275,1291,338,0.304625149,3.88E-01,,
TLEMTS-R_vs_CTL,L_lateraloccipital,-0.251418855,0.123917664,-0.494293013,-0.008544697,1292,338,0.04246658,8.11E-02,,
TLEMTS-R_vs_CTL,L_lateralorbitofrontal,-0.0174911,0.076957573,-0.168325172,0.133342972,1288,338,0.820204178,8.56E-01,,
TLEMTS-R_vs_CTL,L_lingual,-0.383861994,0.137421187,-0.653202571,-0.114521418,1291,338,0.00521693,1.62E-02,,
TLEMTS-R_vs_CTL,L_medialorbitofrontal,0.082401707,0.063945622,-0.04292941,0.207732823,1274,336,0.19752969,2.73E-01,,
TLEMTS-R_vs_CTL,L_middletemporal,-0.111922786,0.110975749,-0.329431257,0.105585686,1190,320,0.313198305,3.92E-01,,
TLEMTS-R_vs_CTL,L_parahippocampal,-0.015255102,0.082004572,-0.17598111,0.145470905,1283,337,0.852423228,8.62E-01,,
TLEMTS-R_vs_CTL,L_paracentral,-0.504805807,0.102114629,-0.704946803,-0.304664811,1292,338,7.67E-07,9.20E-06,,
TLEMTS-R_vs_CTL,L_parsopercularis,-0.153350643,0.104651803,-0.358464407,0.051763121,1290,338,0.142827734,2.03E-01,,
TLEMTS-R_vs_CTL,L_parsorbitalis,-0.189202534,0.09764797,-0.380589037,0.00218397,1292,338,0.052672258,9.75E-02,,
TLEMTS-R_vs_CTL,L_parstriangularis,-0.150894688,0.103090289,-0.352947942,0.051158567,1292,338,0.143272141,2.03E-01,,
TLEMTS-R_vs_CTL,L_pericalcarine,-0.257852817,0.163021754,-0.577369583,0.06166395,1292,338,0.113716239,1.77E-01,,
TLEMTS-R_vs_CTL,L_postcentral,-0.332823569,0.147801734,-0.622509645,-0.043137493,1289,338,0.024333364,5.23E-02,,
TLEMTS-R_vs_CTL,L_posteriorcingulate,-0.057144597,0.06369386,-0.181982268,0.067693074,1292,338,0.369625052,4.39E-01,,
TLEMTS-R_vs_CTL,L_precentral,-0.415305941,0.090362038,-0.592412281,-0.238199602,1287,338,4.31E-06,4.02E-05,,
TLEMTS-R_vs_CTL,L_precuneus,-0.383084963,0.112308508,-0.603205593,-0.162964332,1291,338,0.000647237,2.72E-03,,
TLEMTS-R_vs_CTL,L_rostralanteriorcingulate,0.003072009,0.091402075,-0.176072765,0.182216784,1287,335,0.973188272,9.73E-01,,
TLEMTS-R_vs_CTL,L_rostralmiddlefrontal,-0.155530249,0.122556221,-0.395736027,0.08467553,1292,337,0.204422425,2.76E-01,,
TLEMTS-R_vs_CTL,L_superiorfrontal,-0.354549858,0.093891533,-0.538573882,-0.170525835,1291,337,0.000159262,1.09E-03,,
TLEMTS-R_vs_CTL,L_superiorparietal,-0.401342167,0.124530083,-0.645416644,-0.157267689,1289,338,0.001269206,5.08E-03,,
TLEMTS-R_vs_CTL,L_superiortemporal,-0.137005883,0.123546528,-0.379152629,0.105140862,1177,315,0.26745538,3.56E-01,,
TLEMTS-R_vs_CTL,L_supramarginal,-0.359753923,0.097515073,-0.550879955,-0.168627892,1248,321,0.000224948,1.16E-03,,
TLEMTS-R_vs_CTL,L_frontalpole,-0.077815245,0.086960402,-0.248254502,0.092624012,1290,338,0.370875093,4.39E-01,,
TLEMTS-R_vs_CTL,L_temporalpole,-0.146454165,0.071879191,-0.287334791,-0.005573539,1287,337,0.041599527,8.11E-02,,
TLEMTS-R_vs_CTL,L_transversetemporal,-0.312116908,0.073464331,-0.456104352,-0.168129464,1289,338,2.15E-05,1.81E-04,,
TLEMTS-R_vs_CTL,L_insula,-0.023368524,0.064441478,-0.149671501,0.102934452,1254,332,0.716880009,8.03E-01,,
TLEMTS-R_vs_CTL,R_bankssts,-0.179203274,0.093306708,-0.362081061,0.003674513,1263,333,0.054784304,9.75E-02,,
TLEMTS-R_vs_CTL,R_caudalanteriorcingulate,0.060487077,0.120939733,-0.176550444,0.297524597,1294,337,0.616974881,7.00E-01,,
TLEMTS-R_vs_CTL,R_caudalmiddlefrontal,-0.305097785,0.084445964,-0.470608832,-0.139586737,1296,338,0.000302751,1.41E-03,,
TLEMTS-R_vs_CTL,R_cuneus,-0.246824349,0.084024026,-0.411508414,-0.082140284,1293,338,0.003308223,1.21E-02,,
TLEMTS-R_vs_CTL,R_entorhinal,-0.180973511,0.100701025,-0.378343893,0.016396872,1017,240,0.072313916,1.19E-01,,
TLEMTS-R_vs_CTL,R_fusiform,-0.168512275,0.075217014,-0.315934914,-0.021089636,1292,338,0.02506835,5.27E-02,,
TLEMTS-R_vs_CTL,R_inferiorparietal,-0.244391558,0.141471974,-0.521671531,0.032888415,1285,338,0.084079524,1.36E-01,,
TLEMTS-R_vs_CTL,R_inferiortemporal,-0.111150416,0.102205436,-0.311469389,0.089168557,1294,338,0.276807236,3.64E-01,,
TLEMTS-R_vs_CTL,R_isthmuscingulate,0.143739088,0.098523628,-0.049363675,0.336841852,1293,338,0.144584344,2.03E-01,,
TLEMTS-R_vs_CTL,R_lateraloccipital,-0.365841697,0.097654965,-0.557241911,-0.174441484,1295,338,0.000179485,1.09E-03,,
TLEMTS-R_vs_CTL,R_lateralorbitofrontal,0.026132125,0.077414202,-0.125596923,0.177861174,1293,338,0.735692967,8.13E-01,,
TLEMTS-R_vs_CTL,R_lingual,-0.277255934,0.075386129,-0.425010031,-0.129501837,1295,338,0.000235244,1.16E-03,,
TLEMTS-R_vs_CTL,R_medialorbitofrontal,0.147698266,0.09041354,-0.029509017,0.324905549,1278,336,0.102345875,1.62E-01,,
TLEMTS-R_vs_CTL,R_middletemporal,-0.160946013,0.109403161,-0.375372268,0.053480241,1284,337,0.141256602,2.03E-01,,
TLEMTS-R_vs_CTL,R_parahippocampal,-0.175258261,0.063840647,-0.300383629,-0.050132892,1292,338,0.006046561,1.79E-02,,
TLEMTS-R_vs_CTL,R_paracentral,-0.421445815,0.064463232,-0.547791428,-0.295100203,1296,338,6.24E-11,1.31E-09,,
TLEMTS-R_vs_CTL,R_parsopercularis,-0.271133354,0.071354623,-0.410985845,-0.131280864,1295,338,0.000144812,1.09E-03,,
TLEMTS-R_vs_CTL,R_parsorbitalis,-0.154598942,0.155570901,-0.459512305,0.15031442,1296,338,0.320343468,3.95E-01,,
TLEMTS-R_vs_CTL,R_parstriangularis,-0.165212745,0.08576701,-0.333312995,0.002887505,1294,337,0.054067283,9.75E-02,,
TLEMTS-R_vs_CTL,R_pericalcarine,-0.228145761,0.08009712,-0.385133231,-0.071158291,1296,338,0.004394462,1.48E-02,,
TLEMTS-R_vs_CTL,R_postcentral,-0.357218146,0.151951752,-0.655038107,-0.059398184,1292,338,0.018729798,4.36E-02,,
TLEMTS-R_vs_CTL,R_posteriorcingulate,-0.086587631,0.104452871,-0.291311497,0.118136234,1296,337,0.407124986,4.75E-01,,
TLEMTS-R_vs_CTL,R_precentral,-0.519588322,0.085553463,-0.687270028,-0.351906616,1293,337,1.25E-09,2.10E-08,,
TLEMTS-R_vs_CTL,R_precuneus,-0.459199828,0.122898694,-0.700076843,-0.218322814,1296,338,0.000186667,1.09E-03,,
TLEMTS-R_vs_CTL,R_rostralanteriorcingulate,0.254182395,0.105803598,0.046811154,0.461553636,1296,337,0.016287958,4.03E-02,,
