SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
sub-PX003,736,726,2429,1373,498,3084,4486,2958,1312,5272,2574,3492,1817,2783,821,1375,1859,632,1544,1722,5091,1613,5200,4324,1113,6417,8319,5468,4537,4669,243,346,633,3351,1240,777,2105,2242,290,3716,5892,2684,1068,6034,2790,2893,2224,3274,870,1802,1581,816,1792,1558,3947,1297,5181,3598,852,6279,8783,5934,4221,4713,268,343,332,3201,2.52526,2.49685,92811.5,94586.7,1684160
sub-PX005,666,451,2224,1183,463,2296,3131,2385,610,3810,2285,2309,1229,2273,538,1395,1054,609,1001,1311,2979,872,4920,2927,789,4757,6205,4188,3145,2091,192,339,331,1838,640,565,2536,1353,311,2114,3279,2932,685,3418,2200,2556,1390,2610,554,1255,1131,664,1229,1401,2921,930,4316,3079,363,4801,5517,3618,2925,2098,222,396,217,1675,2.54472,2.51319,66774.7,65896.8,1198380
sub-PX008,854,594,1768,1175,440,2360,3575,2804,754,4522,2037,2774,1407,2796,583,1068,1258,470,980,1228,3701,1010,4080,2852,692,4596,6016,3897,3314,2972,193,370,422,2574,945,452,1781,1330,270,2111,4683,2455,776,4086,2115,2867,1498,3415,561,1087,1056,627,1036,1206,3487,837,3929,3085,473,4453,5601,3916,3163,3480,243,415,244,2189,2.55337,2.56881,70128.9,69866.6,1295580
sub-PX012,831,541,2507,1272,325,2854,4812,3163,908,4374,3150,2648,2049,3565,610,1462,1434,687,1368,1306,4071,1283,4547,3288,832,5033,8399,5428,4171,3235,187,412,378,2637,889,647,1883,1297,366,2633,5862,3356,864,4400,2495,2724,1744,3748,561,1487,1510,775,1552,1197,3434,1430,4299,3350,786,6324,7693,5741,3807,2708,288,407,294,2693,2.34534,2.33894,83762.1,83239.4,1512160
sub-PX013,1073,593,2624,1435,398,2974,3830,2880,1026,4825,2907,2901,1577,2819,575,1289,1586,581,1443,1481,3985,1114,4421,3532,1133,6563,6867,5511,3902,4262,180,361,504,2741,829,689,2013,1339,392,2975,5162,3200,867,5406,2705,3014,2052,2978,571,1538,1366,822,1978,1223,3952,1071,5324,4015,702,5873,7137,5502,3940,3531,245,398,363,2348,2.35468,2.36849,83870.1,85514.4,1518460
sub-PX020,997,944,2669,1433,289,3216,4862,3806,1662,4973,3075,3882,2266,3938,819,1242,1437,827,1016,1475,4186,1500,5291,4773,1359,7334,7297,6052,4819,4905,220,376,450,2517,1038,751,2445,1639,305,3500,6684,3490,1193,5587,3031,3617,2102,4074,874,1375,1234,941,1708,1734,4636,1371,5364,4833,837,7774,7287,5807,4207,4038,262,434,300,2750,2.47046,2.3921,95906.4,97223.6,1777140
sub-PX021,934,616,1407,1522,456,2756,3755,2928,741,3869,2529,2686,1408,2515,482,1020,1277,479,1164,1329,3515,1131,3990,3198,711,5157,5334,4872,2784,3039,196,337,289,1938,816,750,1946,1586,324,2477,4502,2843,710,4431,2183,2569,1675,2614,541,1231,1001,582,1075,1469,3297,984,4163,3286,592,3949,5703,4485,2626,2458,229,269,242,2074,2.32143,2.33278,70354.4,69675.1,1254870
sub-PX024,812,552,1717,1464,405,2478,3442,2452,728,4362,2363,2791,1701,2484,543,972,1045,560,986,1709,3242,990,3939,3080,643,5197,5075,3981,3317,2673,223,333,343,1834,777,774,1687,1523,290,2511,3912,2608,697,4675,2348,3012,1518,2593,595,1178,1149,615,1385,1807,3217,967,4170,3078,631,5314,5048,4284,3201,2881,213,394,285,1948,2.32246,2.36117,68428.7,71276.1,1349210
sub-PX028,942,608,2022,1656,309,2745,3814,3459,891,4817,2678,2223,1706,3335,556,1374,1641,744,1363,1334,3611,1100,4299,3362,956,6863,7367,4744,4580,4708,232,350,350,2397,859,1045,1887,1492,243,3103,5487,2998,886,5055,2858,2699,1966,3746,603,1557,1307,925,1498,1403,3750,1301,4230,3325,677,7350,6195,4607,4089,3238,276,405,309,2360,2.52322,2.47848,83128,83722.6,1531220
sub-PX032,805,652,2011,1197,366,2721,4036,3216,883,4589,2464,2781,1507,3146,671,1626,1428,629,1138,1215,3674,1322,4193,3274,906,5058,6471,4838,3363,3107,183,303,347,2468,798,443,1625,1248,365,2614,4529,2951,907,4158,2446,2726,1940,3093,710,1465,1278,657,1518,1292,3169,848,4068,3838,713,5753,6266,6579,3316,3150,245,391,275,2473,2.43534,2.3831,76574.3,77823.7,1327560
sub-HC002,1402,617,1845,1849,416,3937,5369,3943,1456,4823,3532,3718,2145,3556,836,1413,1177,876,1675,1876,4485,1389,5139,4253,1177,8782,7981,5535,4999,4827,239,474,568,3009,1043,807,2194,1595,743,3962,6436,4153,1336,5945,3030,3490,2207,4016,785,1715,1788,1000,2267,1943,4915,1531,5617,4246,756,7263,7867,5131,4112,3853,331,465,359,3034,2.52728,2.46689,99308.2,99914.2,1902350
sub-HC011,1120,682,2382,1148,375,2901,4625,2829,1102,4817,2411,2521,1845,3089,645,1373,1278,528,1171,1275,4073,1313,4656,3334,899,5632,6979,4341,3836,3219,223,376,365,2491,694,539,1933,1149,321,2933,4447,2995,943,4654,2539,2658,1957,3446,558,1609,1506,733,1196,1485,3752,996,4408,3640,526,5918,7593,4515,4037,3405,249,447,294,2409,2.35843,2.35473,79836.4,80465.2,1556920
sub-HC012,898,638,1932,1773,451,2909,4402,3244,1012,5274,2847,3347,1741,3196,668,1293,1419,644,1274,1755,3792,963,4343,4187,1011,6073,6048,5543,3881,4051,224,312,349,2601,808,908,1904,1874,345,2609,4462,3379,971,5066,3063,3730,1845,3393,682,1496,1059,768,1261,1882,4412,1253,4544,4239,732,6130,5011,5312,3618,3725,265,377,289,2123,2.4762,2.47509,84058,83521.1,1547240
sub-HC019,849,581,1934,1339,501,2857,4436,3364,973,3669,2890,2633,1858,2858,524,1199,1453,658,1069,1443,3496,1155,4647,3206,961,5417,6811,5177,3268,3429,217,341,328,2267,787,688,2172,1457,334,2258,4566,3235,873,4318,2482,2953,1845,3507,525,1381,1215,642,1158,1268,3321,1217,4874,3652,639,5868,6171,4753,3110,2472,240,334,267,2179,2.39855,2.39015,77800.4,76755,1436230
sub-HC025,885,654,3077,1249,412,3766,5848,3903,983,5555,2898,2885,1961,3653,745,1433,1906,715,1311,1199,4222,1579,5141,3227,925,5744,7751,4763,4172,3747,212,356,358,2360,1036,771,2488,1362,414,3051,6377,3686,897,5627,2833,3057,1942,4288,607,1820,1438,763,1417,1326,4022,1435,5244,3487,714,6527,7480,4894,3592,3036,255,484,277,2446,2.54971,2.51447,89584.5,89083.4,1794390
sub-HC029,995,553,2207,1269,679,3260,4304,3178,1048,4087,2771,2498,1853,3151,612,1193,1460,712,1257,1162,3665,1239,4617,3641,909,5248,6909,5444,3524,4028,187,397,382,2503,876,718,2121,1589,519,3293,5387,3491,1030,4255,2711,2809,1760,3158,608,1287,1124,734,1443,1375,3471,1122,4511,3858,543,6770,6264,5186,2875,3704,236,447,272,2580,2.29189,2.27328,80876.2,82112.6,1435630
