SubcorticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
ADHDadolescent_casevsCN,Laccumb,-0.04,,-0.22,0.12,224,323,6.10E-01,
ADHDadolescent_casevsCN,Lamyg,-0.14,,-0.31,0.03,226,321,1.20E-01,
ADHDadolescent_casevsCN,Lcaud,-0.1,,-0.27,0.07,224,324,2.80E-01,
ADHDadolescent_casevsCN,Lhippo,-0.24,,-0.42,-0.08,225,320,6.00E-03,
ADHDadolescent_casevsCN,Lpal,0.02,,-0.15,0.2,223,321,7.80E-01,
ADHDadolescent_casevsCN,Lput,-0.02,,-0.19,0.15,228,329,8.30E-01,
ADHDadolescent_casevsCN,Lthal,0.03,,-0.15,0.21,202,288,7.40E-01,
ADHDadolescent_casevsCN,LLatVent,,,,,,,,
ADHDadolescent_casevsCN,Raccumb,-0.04,,-0.22,0.12,224,323,6.10E-01,
ADHDadolescent_casevsCN,Ramyg,-0.14,,-0.31,0.03,226,321,1.20E-01,
ADHDadolescent_casevsCN,Rcaud,-0.1,,-0.27,0.07,224,324,2.80E-01,
ADHDadolescent_casevsCN,Rhippo,-0.24,,-0.42,-0.08,225,320,6.00E-03,
ADHDadolescent_casevsCN,Rpal,0.02,,-0.15,0.2,223,321,7.80E-01,
ADHDadolescent_casevsCN,Rput,-0.02,,-0.19,0.15,228,329,8.30E-01,
ADHDadolescent_casevsCN,Rthal,0.03,,-0.15,0.21,202,288,7.40E-01,
ADHDadolescent_casevsCN,RLatVent,,,,,,,,
