CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
ADHDpediatric_casevsCN,L_bankssts,-0.06,-0.05,,,974,1000,0.18,0.33
ADHDpediatric_casevsCN,L_caudalanteriorcingulate,-0.02,-0.04,,,1040,1079,0.7,0.77
ADHDpediatric_casevsCN,L_caudalmiddlefrontal,-0.07,-0.04,,,1047,1076,0.13,0.26
ADHDpediatric_casevsCN,L_cuneus,-0.02,-0.04,,,1047,1076,0.65,0.77
ADHDpediatric_casevsCN,L_entorhinal,-0.09,-0.04,,,1014,1031,0.04,0.16
ADHDpediatric_casevsCN,L_fusiform,-0.17,-0.04,,,1044,1077,0.001,0.003
ADHDpediatric_casevsCN,L_inferiorparietal,-0.08,-0.04,,,1043,1079,0.08,0.22
ADHDpediatric_casevsCN,L_inferiortemporal,-0.08,-0.04,,,1040,1065,0.06,0.21
ADHDpediatric_casevsCN,L_isthmuscingulate,0.02,-0.04,,,1041,1078,0.57,0.71
ADHDpediatric_casevsCN,L_lateraloccipital,-0.1,-0.04,,,1048,1080,0.03,0.15
ADHDpediatric_casevsCN,L_lateralorbitofrontal,-0.05,-0.04,,,1047,1081,0.27,0.41
ADHDpediatric_casevsCN,L_lingual,-0.08,-0.04,,,1046,1081,0.06,0.21
ADHDpediatric_casevsCN,L_medialorbitofrontal,0.02,-0.04,,,1040,1070,0.66,0.77
ADHDpediatric_casevsCN,L_middletemporal,-0.07,-0.04,,,1001,1025,0.13,0.26
ADHDpediatric_casevsCN,L_parahippocampal,-0.15,-0.04,,,1041,1076,0.001,0.008
ADHDpediatric_casevsCN,L_paracentral,-0.09,-0.04,,,1047,1075,0.04,0.16
ADHDpediatric_casevsCN,L_parsopercularis,-0.07,-0.04,,,1044,1074,0.09,0.22
ADHDpediatric_casevsCN,L_parsorbitalis,-0.05,-0.04,,,1046,1081,0.28,0.41
ADHDpediatric_casevsCN,L_parstriangularis,0.0,-0.04,,,1048,1074,0.97,0.97
ADHDpediatric_casevsCN,L_pericalcarine,-0.04,-0.04,,,1045,1077,0.35,0.47
ADHDpediatric_casevsCN,L_postcentral,-0.08,-0.04,,,1034,1059,0.08,0.22
ADHDpediatric_casevsCN,L_posteriorcingulate,0.0,-0.04,,,1045,1077,0.97,0.97
ADHDpediatric_casevsCN,L_precentral,-0.16,-0.04,,,1040,1064,0.001,0.003
ADHDpediatric_casevsCN,L_precuneus,-0.1,-0.04,,,1044,1080,0.02,0.15
ADHDpediatric_casevsCN,L_rostralanteriorcingulate,0.06,-0.04,,,1039,1067,0.21,0.35
ADHDpediatric_casevsCN,L_rostralmiddlefrontal,-0.03,-0.04,,,1045,1079,0.48,0.62
ADHDpediatric_casevsCN,L_superiorfrontal,-0.01,-0.04,,,1044,1074,0.83,0.88
ADHDpediatric_casevsCN,L_superiorparietal,-0.07,-0.04,,,1045,1073,0.1,0.24
ADHDpediatric_casevsCN,L_superiortemporal,-0.05,-0.04,,,990,995,0.31,0.44
ADHDpediatric_casevsCN,L_supramarginal,-0.07,-0.04,,,1039,1064,0.12,0.25
ADHDpediatric_casevsCN,L_frontalpole,-0.02,-0.04,,,1047,1080,0.69,0.77
ADHDpediatric_casevsCN,L_temporalpole,-0.18,-0.04,,,1042,1075,0.001,0.001
ADHDpediatric_casevsCN,L_transversetemporal,0.06,-0.04,,,1046,1078,"0,21",0.35
ADHDpediatric_casevsCN,L_insula,-0.09,-0.04,,,1043,1079,"0,03",0.16
ADHDpediatric_casevsCN,R_bankssts,-0.06,-0.05,,,974,1000,0.18,0.33
ADHDpediatric_casevsCN,R_caudalanteriorcingulate,-0.02,-0.04,,,1040,1079,0.7,0.77
ADHDpediatric_casevsCN,R_caudalmiddlefrontal,-0.07,-0.04,,,1047,1076,0.13,0.26
ADHDpediatric_casevsCN,R_cuneus,-0.02,-0.04,,,1047,1076,0.65,0.77
ADHDpediatric_casevsCN,R_entorhinal,-0.09,-0.04,,,1014,1031,0.04,0.16
