CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
ALLEPI_vs_CTL,L_bankssts,-0.092,0.079,-0.247,0.063,1584,1927,0.24543200899999998,0.24543200899999998
ALLEPI_vs_CTL,L_caudalanteriorcingulate,0.039,0.043,-0.044000000000000004,0.122,1645,2045,0.359482284,0.359482284
ALLEPI_vs_CTL,L_caudalmiddlefrontal,-0.319,0.04,-0.39799999999999996,-0.24,1650,2061,2.11e-15,2.11e-15
ALLEPI_vs_CTL,L_cuneus,-0.157,0.08800000000000001,-0.32899999999999996,0.013999999999999999,1648,2061,0.072677966,0.072677966
ALLEPI_vs_CTL,L_entorhinal,-0.264,0.062,-0.385,-0.14300000000000002,1402,1724,2.0399999999999998e-05,2.0399999999999998e-05
ALLEPI_vs_CTL,L_fusiform,-0.187,0.061,-0.306,-0.068,1644,2058,0.0021041470000000002,0.0021041470000000002
ALLEPI_vs_CTL,L_inferiorparietal,-0.19699999999999998,0.071,-0.336,-0.059000000000000004,1639,2052,0.00529128,0.00529128
ALLEPI_vs_CTL,L_inferiortemporal,-0.085,0.057,-0.198,0.027000000000000003,1648,2055,0.136761399,0.136761399
ALLEPI_vs_CTL,L_isthmuscingulate,-0.049,0.036000000000000004,-0.12,0.021,1649,2057,0.171712563,0.171712563
ALLEPI_vs_CTL,L_lateraloccipital,-0.19,0.091,-0.368,-0.013000000000000001,1650,2060,0.03582136,0.03582136
ALLEPI_vs_CTL,L_lateralorbitofrontal,-0.066,0.046,-0.155,0.023,1645,2060,0.14601444,0.14601444
ALLEPI_vs_CTL,L_lingual,-0.17800000000000002,0.085,-0.344,-0.013000000000000001,1649,2061,0.034958368,0.034958368
ALLEPI_vs_CTL,L_medialorbitofrontal,0.005,0.035,-0.063,0.07400000000000001,1632,2030,0.8818034990000001,0.8818034990000001
ALLEPI_vs_CTL,L_middletemporal,-0.19899999999999998,0.069,-0.33399999999999996,-0.063,1546,1955,0.004010604,0.004010604
ALLEPI_vs_CTL,L_parahippocampal,-0.10400000000000001,0.044000000000000004,-0.19,-0.018000000000000002,1637,2050,0.01828504,0.01828504
ALLEPI_vs_CTL,L_paracentral,-0.311,0.065,-0.439,-0.183,1650,2061,2.05e-06,2.05e-06
ALLEPI_vs_CTL,L_parsopercularis,-0.153,0.057,-0.264,-0.040999999999999995,1648,2059,0.007117269,0.007117269
ALLEPI_vs_CTL,L_parsorbitalis,-0.149,0.049,-0.245,-0.053,1650,2059,0.002366495,0.002366495
ALLEPI_vs_CTL,L_parstriangularis,-0.192,0.05,-0.29,-0.094,1650,2060,0.000129192,0.000129192
ALLEPI_vs_CTL,L_pericalcarine,-0.13,0.08900000000000001,-0.303,0.044000000000000004,1650,2059,0.14325453,0.14325453
ALLEPI_vs_CTL,L_postcentral,-0.125,0.09,-0.302,0.052000000000000005,1647,2056,0.16713871,0.16713871
ALLEPI_vs_CTL,L_posteriorcingulate,-0.083,0.044000000000000004,-0.17,0.004,1650,2059,0.060089126,0.060089126
ALLEPI_vs_CTL,L_precentral,-0.384,0.044000000000000004,-0.47,-0.298,1645,2058,1.82e-18,1.82e-18
ALLEPI_vs_CTL,L_precuneus,-0.248,0.083,-0.41,-0.086,1649,2059,0.0026617859999999998,0.0026617859999999998
ALLEPI_vs_CTL,L_rostralanteriorcingulate,-0.012,0.057999999999999996,-0.125,0.10099999999999999,1645,2048,0.833758288,0.833758288
ALLEPI_vs_CTL,L_rostralmiddlefrontal,-0.145,0.063,-0.26899999999999996,-0.021,1649,2057,0.021461648,0.021461648
ALLEPI_vs_CTL,L_superiorfrontal,-0.28300000000000003,0.054000000000000006,-0.389,-0.177,1649,2059,1.51e-07,1.51e-07
ALLEPI_vs_CTL,L_superiorparietal,-0.287,0.077,-0.43700000000000006,-0.13699999999999998,1645,2058,0.000177868,0.000177868
ALLEPI_vs_CTL,L_superiortemporal,-0.18,0.081,-0.33799999999999997,-0.021,1533,1937,0.026189873,0.026189873
