CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
ALLOTHEREPI_vs_CTL,L_bankssts,-0.007,0.064,,,1381,937,0.918,9.18E-01
ALLOTHEREPI_vs_CTL,L_caudalanteriorcingulate,0.05,0.052,,,1442,987,0.336,4.09E-01
ALLOTHEREPI_vs_CTL,L_caudalmiddlefrontal,-0.291,0.045,,,1447,1000,1.32E-10,2.22E-09
ALLOTHEREPI_vs_CTL,L_cuneus,-0.142,0.049,,,1445,1000,0.004,9.88E-03
ALLOTHEREPI_vs_CTL,L_entorhinal,-0.149,0.084,,,1210,913,0.077,1.22E-01
ALLOTHEREPI_vs_CTL,L_fusiform,-0.095,0.045,,,1445,999,0.035,6.13E-02
ALLOTHEREPI_vs_CTL,L_inferiorparietal,-0.096,0.045,,,1436,995,0.034,6.08E-02
ALLOTHEREPI_vs_CTL,L_inferiortemporal,-0.007,0.054,,,1446,996,0.903,9.18E-01
ALLOTHEREPI_vs_CTL,L_isthmuscingulate,-0.093,0.057,,,1446,998,0.103,1.57E-01
ALLOTHEREPI_vs_CTL,L_lateraloccipital,-0.153,0.048,,,1447,1000,1.39E-03,4.03E-03
ALLOTHEREPI_vs_CTL,L_lateralorbitofrontal,-0.065,0.064,,,1443,999,0.315,3.95E-01
ALLOTHEREPI_vs_CTL,L_lingual,-0.099,0.045,,,1446,1000,0.028,5.23E-02
ALLOTHEREPI_vs_CTL,L_medialorbitofrontal,-0.014,0.046,,,1429,975,0.754,8.33E-01
ALLOTHEREPI_vs_CTL,L_middletemporal,-0.074,0.046,,,1345,958,0.112,1.68E-01
ALLOTHEREPI_vs_CTL,L_parahippocampal,-0.06,0.045,,,1438,995,0.184,2.45E-01
ALLOTHEREPI_vs_CTL,L_paracentral,-0.257,0.045,,,1447,1000,1.34E-08,1.88E-07
ALLOTHEREPI_vs_CTL,L_parsopercularis,-0.122,0.047,,,1445,999,0.01,2.21E-02
ALLOTHEREPI_vs_CTL,L_parsorbitalis,-0.128,0.045,,,1447,999,0.005,1.20E-02
ALLOTHEREPI_vs_CTL,L_parstriangularis,-0.141,0.045,,,1447,1000,0.002,5.60E-03
ALLOTHEREPI_vs_CTL,L_pericalcarine,-0.16,0.054,,,1447,999,3.10E-03,7.89E-03
ALLOTHEREPI_vs_CTL,L_postcentral,-0.065,0.045,,,1444,997,0.152,2.09E-01
ALLOTHEREPI_vs_CTL,L_posteriorcingulate,-0.089,0.061,,,1447,999,0.145,2.03E-01
ALLOTHEREPI_vs_CTL,L_precentral,-0.375,0.046,,,1442,997,1.76E-16,1.48E-14
ALLOTHEREPI_vs_CTL,L_precuneus,-0.178,0.047,,,1446,998,1.34E-04,4.89E-04
ALLOTHEREPI_vs_CTL,L_rostralanteriorcingulate,-0.023,0.068,,,1442,994,0.731,8.22E-01
ALLOTHEREPI_vs_CTL,L_rostralmiddlefrontal,-0.097,0.062,,,1447,999,0.116,1.71E-01
ALLOTHEREPI_vs_CTL,L_superiorfrontal,-0.243,0.059,,,1446,999,3.51E-05,1.55E-04
ALLOTHEREPI_vs_CTL,L_superiorparietal,-0.224,0.045,,,1444,996,7.27E-07,6.79E-06
ALLOTHEREPI_vs_CTL,L_superiortemporal,-0.092,0.059,,,1330,952,0.123,1.78E-01
ALLOTHEREPI_vs_CTL,L_supramarginal,-0.138,0.059,,,1403,961,0.019,3.80E-02
ALLOTHEREPI_vs_CTL,L_frontalpole,-0.089,0.046,,,1445,999,0.051,8.57E-02
ALLOTHEREPI_vs_CTL,L_temporalpole,-0.088,0.069,,,1442,997,0.2,2.60E-01
ALLOTHEREPI_vs_CTL,L_transversetemporal,-0.2,0.059,,,1444,1000,6.62E-04,2.14E-03
ALLOTHEREPI_vs_CTL,L_insula,-0.015,0.053,,,1409,985,0.777,8.37E-01
ALLOTHEREPI_vs_CTL,R_bankssts,-0.081,0.063,,,1421,983,0.201,2.60E-01
ALLOTHEREPI_vs_CTL,R_caudalanteriorcingulate,0.007,0.048,,,1449,997,0.888,9.18E-01
ALLOTHEREPI_vs_CTL,R_caudalmiddlefrontal,-0.212,0.045,,,1451,998,2.62E-06,2.00E-05
ALLOTHEREPI_vs_CTL,R_cuneus,-0.234,0.045,,,1449,996,2.15E-07,2.58E-06
ALLOTHEREPI_vs_CTL,R_entorhinal,-0.197,0.058,,,1183,901,7.30E-04,2.27E-03
ALLOTHEREPI_vs_CTL,R_fusiform,-0.086,0.062,,,1451,997,0.164,2.22E-01
ALLOTHEREPI_vs_CTL,R_inferiorparietal,-0.118,0.05,,,1440,989,0.018,3.73E-02
ALLOTHEREPI_vs_CTL,R_inferiortemporal,-0.035,0.049,,,1449,996,0.483,5.71E-01
ALLOTHEREPI_vs_CTL,R_isthmuscingulate,-0.016,0.055,,,1448,997,0.774,8.37E-01
ALLOTHEREPI_vs_CTL,R_lateraloccipital,-0.211,0.045,,,1450,997,3.18E-06,2.15E-05
ALLOTHEREPI_vs_CTL,R_lateralorbitofrontal,-0.167,0.055,,,1448,996,2.15E-03,5.83E-03
ALLOTHEREPI_vs_CTL,R_lingual,-0.18,0.045,,,1450,996,7.12E-05,2.85E-04
ALLOTHEREPI_vs_CTL,R_medialorbitofrontal,-0.101,0.054,,,1433,973,0.065,1.05E-01
ALLOTHEREPI_vs_CTL,R_middletemporal,-0.102,0.045,,,1440,993,0.024,4.58E-02
ALLOTHEREPI_vs_CTL,R_parahippocampal,-0.076,0.045,,,1447,996,0.093,1.45E-01
ALLOTHEREPI_vs_CTL,R_paracentral,-0.351,0.045,,,1451,998,1.05E-14,4.41E-13
ALLOTHEREPI_vs_CTL,R_parsopercularis,-0.125,0.047,,,1450,998,0.008,1.82E-02
ALLOTHEREPI_vs_CTL,R_parsorbitalis,-0.156,0.052,,,1451,996,2.69E-03,7.06E-03
ALLOTHEREPI_vs_CTL,R_parstriangularis,-0.21,0.045,,,1449,998,3.32E-06,2.15E-05
ALLOTHEREPI_vs_CTL,R_pericalcarine,-0.158,0.048,,,1451,997,9.68E-04,2.90E-03
ALLOTHEREPI_vs_CTL,R_postcentral,-0.024,0.045,,,1447,996,0.597,6.97E-01
ALLOTHEREPI_vs_CTL,R_posteriorcingulate,-0.061,0.062,,,1451,998,0.324,4.00E-01
ALLOTHEREPI_vs_CTL,R_precentral,-0.348,0.045,,,1448,996,1.70E-14,4.76E-13
ALLOTHEREPI_vs_CTL,R_precuneus,-0.238,0.053,,,1451,994,7.78E-06,4.08E-05
ALLOTHEREPI_vs_CTL,R_rostralanteriorcingulate,0.023,0.067,,,1450,996,0.734,8.22E-01
ALLOTHEREPI_vs_CTL,R_rostralmiddlefrontal,-0.198,0.052,,,1451,997,1.58E-04,5.31E-04
ALLOTHEREPI_vs_CTL,R_superiorfrontal,-0.235,0.052,,,1448,997,7.15E-06,4.00E-05
ALLOTHEREPI_vs_CTL,R_superiorparietal,-0.22,0.045,,,1450,997,1.15E-06,9.66E-06
ALLOTHEREPI_vs_CTL,R_superiortemporal,-0.11,0.059,,,1354,959,0.059,9.72E-02
ALLOTHEREPI_vs_CTL,R_supramarginal,-0.206,0.047,,,1395,961,9.95E-06,4.92E-05
ALLOTHEREPI_vs_CTL,R_frontalpole,-0.098,0.045,,,1451,997,0.03,5.48E-02
ALLOTHEREPI_vs_CTL,R_temporalpole,-0.126,0.047,,,1448,995,0.007,1.63E-02
ALLOTHEREPI_vs_CTL,R_transversetemporal,-0.18,0.045,,,1451,998,6.84E-05,2.85E-04
ALLOTHEREPI_vs_CTL,R_insula,-0.069,0.046,,,1412,990,0.129,1.84E-01
