CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
MDDadolescent_casevsCN,L_bankssts,-0.035,0.185,,,279,190,0.851,0.979
MDDadolescent_casevsCN,L_caudalanteriorcingulate,-0.14,0.12,,,291,213,0.244,0.979
MDDadolescent_casevsCN,L_caudalmiddlefrontal,0.004,0.107,,,294,213,0.967,0.979
MDDadolescent_casevsCN,L_cuneus,0.072,0.197,,,293,213,0.716,0.979
MDDadolescent_casevsCN,L_entorhinal,0.16,0.11,,,292,210,0.144,0.979
MDDadolescent_casevsCN,L_fusiform,-0.061,0.107,,,293,213,0.568,0.979
MDDadolescent_casevsCN,L_inferiorparietal,0.01,0.107,,,294,213,0.922,0.979
MDDadolescent_casevsCN,L_inferiortemporal,0.106,0.108,,,291,212,0.323,0.979
MDDadolescent_casevsCN,L_isthmuscingulate,-0.222,0.107,,,293,212,0.038,0.691
MDDadolescent_casevsCN,L_lateraloccipital,-0.018,0.187,,,294,212,0.925,0.979
MDDadolescent_casevsCN,L_lateralorbitofrontal,-0.311,0.107,,,294,213,0.004,0.258
MDDadolescent_casevsCN,L_lingual,0.037,0.107,,,294,213,0.731,0.979
MDDadolescent_casevsCN,L_medialorbitofrontal,-0.165,0.132,,,283,210,0.211,0.979
MDDadolescent_casevsCN,L_middletemporal,0.034,0.11,,,284,196,0.754,0.979
MDDadolescent_casevsCN,L_parahippocampal,-0.151,0.107,,,294,211,0.16,0.979
MDDadolescent_casevsCN,L_paracentral,-0.131,0.107,,,294,212,0.221,0.979
MDDadolescent_casevsCN,L_parsopercularis,0.15,0.107,,,293,211,0.163,0.979
MDDadolescent_casevsCN,L_parsorbitalis,-0.023,0.191,,,292,213,0.903,0.979
MDDadolescent_casevsCN,L_parstriangularis,0.077,0.121,,,293,213,0.527,0.979
MDDadolescent_casevsCN,L_pericalcarine,-0.023,0.107,,,294,213,0.829,0.979
MDDadolescent_casevsCN,L_postcentral,0.011,0.107,,,294,212,0.918,0.979
MDDadolescent_casevsCN,L_posteriorcingulate,-0.051,0.107,,,293,213,0.634,0.979
MDDadolescent_casevsCN,L_precentral,-0.168,0.108,,,291,212,0.119,0.979
MDDadolescent_casevsCN,L_precuneus,0.022,0.21,,,294,213,0.916,0.979
MDDadolescent_casevsCN,L_rostralanteriorcingulate,-0.216,0.152,,,294,213,0.156,0.979
MDDadolescent_casevsCN,L_rostralmiddlefrontal,-0.007,0.107,,,294,213,0.948,0.979
MDDadolescent_casevsCN,L_superiorfrontal,0.003,0.107,,,293,212,0.977,0.979
MDDadolescent_casevsCN,L_superiorparietal,0.05,0.107,,,294,213,0.637,0.979
MDDadolescent_casevsCN,L_superiortemporal,0.006,0.109,,,283,198,0.958,0.979
MDDadolescent_casevsCN,L_supramarginal,0.025,0.107,,,291,213,0.817,0.979
