CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
MDDadolescent_casevsCN_firstepisode,L_bankssts,-0.112,0.31,,,150,74,0.717,0.907
MDDadolescent_casevsCN_firstepisode,L_caudalanteriorcingulate,-0.177,0.153,,,152,80,0.245,0.907
MDDadolescent_casevsCN_firstepisode,L_caudalmiddlefrontal,0.175,0.152,,,154,80,0.252,0.907
MDDadolescent_casevsCN_firstepisode,L_cuneus,-0.025,0.277,,,153,80,0.928,0.966
MDDadolescent_casevsCN_firstepisode,L_entorhinal,0.103,0.153,,,154,79,0.502,0.907
MDDadolescent_casevsCN_firstepisode,L_fusiform,-0.378,0.197,,,153,80,0.055,0.907
MDDadolescent_casevsCN_firstepisode,L_inferiorparietal,-0.169,0.23,,,154,80,0.463,0.907
MDDadolescent_casevsCN_firstepisode,L_inferiortemporal,-0.092,0.153,,,153,80,0.545,0.907
MDDadolescent_casevsCN_firstepisode,L_isthmuscingulate,-0.074,0.153,,,153,79,0.631,0.907
MDDadolescent_casevsCN_firstepisode,L_lateraloccipital,-0.37,0.319,,,154,80,0.246,0.907
MDDadolescent_casevsCN_firstepisode,L_lateralorbitofrontal,-0.175,0.152,,,154,80,0.251,0.907
MDDadolescent_casevsCN_firstepisode,L_lingual,0.066,0.152,,,154,80,0.665,0.907
MDDadolescent_casevsCN_firstepisode,L_medialorbitofrontal,-0.295,0.154,,,154,79,0.056,0.907
MDDadolescent_casevsCN_firstepisode,L_middletemporal,-0.091,0.194,,,150,77,0.638,0.907
MDDadolescent_casevsCN_firstepisode,L_parahippocampal,-0.196,0.154,,,154,79,0.201,0.907
MDDadolescent_casevsCN_firstepisode,L_paracentral,-0.077,0.215,,,154,80,0.72,0.907
MDDadolescent_casevsCN_firstepisode,L_parsopercularis,0.189,0.153,,,153,79,0.217,0.907
MDDadolescent_casevsCN_firstepisode,L_parsorbitalis,-0.111,0.27,,,152,80,0.681,0.907
MDDadolescent_casevsCN_firstepisode,L_parstriangularis,0.249,0.153,,,153,80,0.103,0.907
MDDadolescent_casevsCN_firstepisode,L_pericalcarine,0.072,0.152,,,154,80,0.638,0.907
MDDadolescent_casevsCN_firstepisode,L_postcentral,-0.139,0.153,,,154,79,0.363,0.907
MDDadolescent_casevsCN_firstepisode,L_posteriorcingulate,-0.085,0.206,,,153,80,0.681,0.907
MDDadolescent_casevsCN_firstepisode,L_precentral,-0.21,0.153,,,151,80,0.17,0.907
MDDadolescent_casevsCN_firstepisode,L_precuneus,-0.123,0.394,,,154,80,0.754,0.907
MDDadolescent_casevsCN_firstepisode,L_rostralanteriorcingulate,-0.379,0.153,,,154,80,0.013,0.907
MDDadolescent_casevsCN_firstepisode,L_rostralmiddlefrontal,0.047,0.152,,,154,80,0.758,0.907
MDDadolescent_casevsCN_firstepisode,L_superiorfrontal,-0.054,0.152,,,153,80,0.722,0.907
MDDadolescent_casevsCN_firstepisode,L_superiorparietal,-0.093,0.197,,,154,80,0.639,0.907
MDDadolescent_casevsCN_firstepisode,L_superiortemporal,-0.072,0.173,,,153,76,0.678,0.907
MDDadolescent_casevsCN_firstepisode,L_supramarginal,-0.166,0.203,,,151,80,0.415,0.907
MDDadolescent_casevsCN_firstepisode,L_frontalpole,-0.079,0.339,,,154,80,0.816,0.907
MDDadolescent_casevsCN_firstepisode,L_temporalpole,0.008,0.216,,,154,80,0.969,0.969
MDDadolescent_casevsCN_firstepisode,L_transversetemporal,0.063,0.152,,,154,80,0.68,0.907
MDDadolescent_casevsCN_firstepisode,L_insula,-0.259,0.23,,,152,80,0.261,0.907
MDDadolescent_casevsCN_firstepisode,R_bankssts,0.021,0.269,,,153,77,0.936,0.966
MDDadolescent_casevsCN_firstepisode,R_caudalanteriorcingulate,0.069,0.171,,,154,80,0.688,0.907
MDDadolescent_casevsCN_firstepisode,R_caudalmiddlefrontal,0.269,0.326,,,154,78,0.409,0.907
MDDadolescent_casevsCN_firstepisode,R_cuneus,-0.171,0.245,,,152,80,0.484,0.907
MDDadolescent_casevsCN_firstepisode,R_entorhinal,-0.202,0.155,,,151,79,0.194,0.907
MDDadolescent_casevsCN_firstepisode,R_fusiform,-0.228,0.193,,,154,80,0.238,0.907
MDDadolescent_casevsCN_firstepisode,R_inferiorparietal,-0.079,0.286,,,153,80,0.784,0.907
MDDadolescent_casevsCN_firstepisode,R_inferiortemporal,-0.137,0.152,,,154,80,0.369,0.907
MDDadolescent_casevsCN_firstepisode,R_isthmuscingulate,-0.055,0.152,,,153,80,0.719,0.907
MDDadolescent_casevsCN_firstepisode,R_lateraloccipital,-0.154,0.174,,,154,80,0.379,0.907
MDDadolescent_casevsCN_firstepisode,R_lateralorbitofrontal,-0.359,0.252,,,154,80,0.154,0.907
MDDadolescent_casevsCN_firstepisode,R_lingual,0.067,0.152,,,154,80,0.66,0.907
MDDadolescent_casevsCN_firstepisode,R_medialorbitofrontal,-0.276,0.153,,,153,80,0.071,0.907
MDDadolescent_casevsCN_firstepisode,R_middletemporal,-0.036,0.155,,,154,79,0.815,0.907
MDDadolescent_casevsCN_firstepisode,R_parahippocampal,0.039,0.152,,,154,80,0.797,0.907
MDDadolescent_casevsCN_firstepisode,R_paracentral,0.063,0.153,,,151,80,0.681,0.907
MDDadolescent_casevsCN_firstepisode,R_parsopercularis,-0.114,0.186,,,153,80,0.54,0.907
MDDadolescent_casevsCN_firstepisode,R_parsorbitalis,-0.174,0.343,,,154,79,0.612,0.907
MDDadolescent_casevsCN_firstepisode,R_parstriangularis,0.018,0.235,,,154,80,0.938,0.966
MDDadolescent_casevsCN_firstepisode,R_pericalcarine,0.09,0.152,,,154,80,0.554,0.907
MDDadolescent_casevsCN_firstepisode,R_postcentral,-0.067,0.154,,,152,79,0.663,0.907
MDDadolescent_casevsCN_firstepisode,R_posteriorcingulate,0.047,0.16,,,154,80,0.768,0.907
MDDadolescent_casevsCN_firstepisode,R_precentral,-0.132,0.202,,,153,80,0.515,0.907
MDDadolescent_casevsCN_firstepisode,R_precuneus,-0.088,0.34,,,154,80,0.795,0.907
MDDadolescent_casevsCN_firstepisode,R_rostralanteriorcingulate,-0.185,0.153,,,153,80,0.226,0.907
MDDadolescent_casevsCN_firstepisode,R_rostralmiddlefrontal,0.047,0.265,,,153,80,0.858,0.928
MDDadolescent_casevsCN_firstepisode,R_superiorfrontal,-0.039,0.223,,,154,80,0.862,0.928
MDDadolescent_casevsCN_firstepisode,R_superiorparietal,0.012,0.276,,,153,80,0.964,0.969
MDDadolescent_casevsCN_firstepisode,R_superiortemporal,-0.263,0.19,,,154,79,0.166,0.907
MDDadolescent_casevsCN_firstepisode,R_supramarginal,-0.081,0.153,,,151,80,0.593,0.907
MDDadolescent_casevsCN_firstepisode,R_frontalpole,-0.083,0.152,,,154,80,0.587,0.907
MDDadolescent_casevsCN_firstepisode,R_temporalpole,0.154,0.346,,,154,80,0.655,0.907
MDDadolescent_casevsCN_firstepisode,R_transversetemporal,0.045,0.152,,,154,80,0.766,0.907
MDDadolescent_casevsCN_firstepisode,R_insula,-0.23,0.153,,,151,80,0.133,0.907
