CorticalThickness,Structure,d-icv,se-icv,low-ci-icv,up-ci-icv,n-controls,n-patients,pobs,fdr-p
MDDadolescent-casevsCN-recurrent,L-bankssts,0.013,0.286,,,138,91,0.964,0.989
MDDadolescent-casevsCN-recurrent,L-caudalanteriorcingulate,-0.196,0.3,,,140,104,0.514,0.989
MDDadolescent-casevsCN-recurrent,L-caudalmiddlefrontal,-0.115,0.153,,,142,104,0.452,0.989
MDDadolescent-casevsCN-recurrent,L-cuneus,0.321,0.228,,,141,104,0.16,0.989
MDDadolescent-casevsCN-recurrent,L-entorhinal,0.168,0.249,,,142,103,0.5,0.989
MDDadolescent-casevsCN-recurrent,L-fusiform,0.069,0.236,,,141,104,0.77,0.989
MDDadolescent-casevsCN-recurrent,L-inferiorparietal,0.133,0.153,,,142,104,0.384,0.989
MDDadolescent-casevsCN-recurrent,L-inferiortemporal,0.154,0.22,,,141,104,0.485,0.989
MDDadolescent-casevsCN-recurrent,L-isthmuscingulate,-0.343,0.154,,,141,104,0.026,0.901
MDDadolescent-casevsCN-recurrent,L-lateraloccipital,0.228,0.254,,,142,103,0.371,0.989
MDDadolescent-casevsCN-recurrent,L-lateralorbitofrontal,-0.486,0.154,,,142,104,0.002,0.116
MDDadolescent-casevsCN-recurrent,L-lingual,0.044,0.153,,,142,104,0.775,0.989
MDDadolescent-casevsCN-recurrent,L-medialorbitofrontal,-0.228,0.239,,,142,104,0.341,0.989
MDDadolescent-casevsCN-recurrent,L-middletemporal,0.039,0.209,,,138,93,0.852,0.989
MDDadolescent-casevsCN-recurrent,L-parahippocampal,-0.235,0.154,,,142,103,0.128,0.989
MDDadolescent-casevsCN-recurrent,L-paracentral,-0.192,0.154,,,142,103,0.212,0.989
MDDadolescent-casevsCN-recurrent,L-parsopercularis,0.071,0.154,,,141,103,0.646,0.989
MDDadolescent-casevsCN-recurrent,L-parsorbitalis,-0.16,0.334,,,140,104,0.633,0.989
MDDadolescent-casevsCN-recurrent,L-parstriangularis,0.116,0.153,,,141,104,0.45,0.989
MDDadolescent-casevsCN-recurrent,L-pericalcarine,0.028,0.163,,,142,104,0.864,0.989
MDDadolescent-casevsCN-recurrent,L-postcentral,0.002,0.153,,,142,104,0.989,0.989
MDDadolescent-casevsCN-recurrent,L-posteriorcingulate,-0.053,0.178,,,141,104,0.764,0.989
MDDadolescent-casevsCN-recurrent,L-precentral,-0.136,0.154,,,139,103,0.377,0.989
MDDadolescent-casevsCN-recurrent,L-precuneus,0.016,0.286,,,142,104,0.955,0.989
MDDadolescent-casevsCN-recurrent,L-rostralanteriorcingulate,-0.185,0.32,,,142,104,0.563,0.989
MDDadolescent-casevsCN-recurrent,L-rostralmiddlefrontal,-0.14,0.153,,,142,104,0.359,0.989
MDDadolescent-casevsCN-recurrent,L-superiorfrontal,-0.098,0.205,,,141,103,0.631,0.989
MDDadolescent-casevsCN-recurrent,L-superiorparietal,-0.017,0.153,,,142,104,0.911,0.989
