SurfaceArea,Structure,d-icv,se-icv,low-ci-icv,up-ci-icv,n-controls,n-patients,pobs,fdr-p
MDDadult-casevsCN,L-bankssts,-0.024,0.043,,,7487,1748,0.582,0.92
MDDadult-casevsCN,L-caudalanteriorcingulate,0.021,0.03,,,7590,1883,0.48,0.92
MDDadult-casevsCN,L-caudalmiddlefrontal,0.045,0.053,,,7605,1885,0.389,0.92
MDDadult-casevsCN,L-cuneus,-0.007,0.03,,,7626,1889,0.818,0.92
MDDadult-casevsCN,L-entorhinal,0.008,0.043,,,7434,1821,0.856,0.92
MDDadult-casevsCN,L-fusiform,0.012,0.03,,,7503,1862,0.688,0.92
MDDadult-casevsCN,L-inferiorparietal,-0.005,0.03,,,7587,1876,0.859,0.92
MDDadult-casevsCN,L-inferiortemporal,0.046,0.044,,,7623,1869,0.294,0.92
MDDadult-casevsCN,L-isthmuscingulate,0.063,0.058,,,7641,1893,0.283,0.92
MDDadult-casevsCN,L-lateraloccipital,0.016,0.055,,,7633,1892,0.776,0.92
MDDadult-casevsCN,L-lateralorbitofrontal,0.041,0.036,,,7655,1901,0.253,0.92
MDDadult-casevsCN,L-lingual,0.028,0.059,,,7640,1894,0.632,0.92
MDDadult-casevsCN,L-medialorbitofrontal,0.035,0.059,,,7554,1869,0.552,0.92
MDDadult-casevsCN,L-middletemporal,-0.034,0.051,,,7526,1802,0.513,0.92
MDDadult-casevsCN,L-parahippocampal,-0.017,0.048,,,7592,1879,0.725,0.92
MDDadult-casevsCN,L-paracentral,0.018,0.068,,,7547,1865,0.788,0.92
MDDadult-casevsCN,L-parsopercularis,-0.015,0.03,,,7619,1889,0.62,0.92
MDDadult-casevsCN,L-parsorbitalis,-0.002,0.051,,,7647,1899,0.965,0.965
MDDadult-casevsCN,L-parstriangularis,-0.063,0.03,,,7634,1894,0.037,0.87
MDDadult-casevsCN,L-pericalcarine,-0.008,0.062,,,7654,1895,0.893,0.92
MDDadult-casevsCN,L-postcentral,0.006,0.035,,,7571,1866,0.862,0.92
MDDadult-casevsCN,L-posteriorcingulate,0.006,0.03,,,7645,1896,0.851,0.92
MDDadult-casevsCN,L-precentral,0.034,0.072,,,7587,1878,0.631,0.92
MDDadult-casevsCN,L-precuneus,0.011,0.043,,,7636,1892,0.798,0.92
MDDadult-casevsCN,L-rostralanteriorcingulate,0.04,0.03,,,7540,1861,0.186,0.92
MDDadult-casevsCN,L-rostralmiddlefrontal,0.025,0.03,,,7634,1897,0.397,0.92
MDDadult-casevsCN,L-superiorfrontal,0.052,0.03,,,7555,1879,0.088,0.92
MDDadult-casevsCN,L-superiorparietal,0.017,0.03,,,7592,1877,0.575,0.92
MDDadult-casevsCN,L-superiortemporal,0.011,0.05,,,7510,1787,0.827,0.92
MDDadult-casevsCN,L-supramarginal,0.04,0.043,,,7512,1835,0.35,0.92
MDDadult-casevsCN,L-frontalpole,-0.049,0.03,,,7657,1900,0.1,0.92
MDDadult-casevsCN,L-temporalpole,0.066,0.03,,,7620,1868,0.029,0.87
MDDadult-casevsCN,L-transversetemporal,0.013,0.056,,,7654,1899,0.815,0.92
MDDadult-casevsCN,L-insula,0.014,0.049,,,7634,1896,0.782,0.92
MDDadult-casevsCN,R-bankssts,0.01,0.031,,,7569,1815,0.751,0.92
MDDadult-casevsCN,R-caudalanteriorcingulate,0.011,0.03,,,7615,1883,0.707,0.92
MDDadult-casevsCN,R-caudalmiddlefrontal,0.009,0.03,,,7620,1889,0.761,0.92
MDDadult-casevsCN,R-cuneus,0.058,0.036,,,7634,1891,0.107,0.92
MDDadult-casevsCN,R-entorhinal,0.036,0.031,,,7409,1796,0.24,0.92
MDDadult-casevsCN,R-fusiform,-0.034,0.041,,,7523,1860,0.395,0.92
MDDadult-casevsCN,R-inferiorparietal,-0.024,0.05,,,7584,1877,0.629,0.92
MDDadult-casevsCN,R-inferiortemporal,0.005,0.03,,,7634,1885,0.876,0.92
MDDadult-casevsCN,R-isthmuscingulate,0.04,0.047,,,7642,1896,0.393,0.92
MDDadult-casevsCN,R-lateraloccipital,0.067,0.03,,,7642,1897,0.026,0.87
MDDadult-casevsCN,R-lateralorbitofrontal,0.026,0.054,,,7654,1902,0.631,0.92
MDDadult-casevsCN,R-lingual,0.016,0.063,,,7649,1897,0.799,0.92
MDDadult-casevsCN,R-medialorbitofrontal,0.027,0.03,,,7606,1883,0.369,0.92
MDDadult-casevsCN,R-middletemporal,0.027,0.03,,,7593,1867,0.37,0.92
MDDadult-casevsCN,R-parahippocampal,-0.04,0.03,,,7606,1881,0.184,0.92
MDDadult-casevsCN,R-paracentral,0.014,0.034,,,7593,1881,0.676,0.92
MDDadult-casevsCN,R-parsopercularis,-0.011,0.046,,,7619,1886,0.806,0.92
MDDadult-casevsCN,R-parsorbitalis,0.022,0.041,,,7650,1897,0.589,0.92
MDDadult-casevsCN,R-parstriangularis,-0.012,0.03,,,7622,1892,0.684,0.92
MDDadult-casevsCN,R-pericalcarine,0.007,0.034,,,7650,1897,0.837,0.92
MDDadult-casevsCN,R-postcentral,0.022,0.03,,,7596,1874,0.46,0.92
MDDadult-casevsCN,R-posteriorcingulate,0.016,0.061,,,7648,1898,0.789,0.92
MDDadult-casevsCN,R-precentral,0.009,0.057,,,7589,1880,0.875,0.92
MDDadult-casevsCN,R-precuneus,0.006,0.034,,,7635,1894,0.87,0.92
MDDadult-casevsCN,R-rostralanteriorcingulate,0.029,0.03,,,7595,1877,0.333,0.92
MDDadult-casevsCN,R-rostralmiddlefrontal,0.054,0.03,,,7636,1890,0.072,0.92
MDDadult-casevsCN,R-superiorfrontal,0.028,0.03,,,7589,1877,0.361,0.92
MDDadult-casevsCN,R-superiorparietal,-0.008,0.037,,,7610,1873,0.833,0.92
MDDadult-casevsCN,R-superiortemporal,0.029,0.062,,,7547,1805,0.64,0.92
MDDadult-casevsCN,R-supramarginal,0.004,0.03,,,7569,1855,0.89,0.92
MDDadult-casevsCN,R-frontalpole,0.024,0.044,,,7652,1900,0.579,0.92
MDDadult-casevsCN,R-temporalpole,0.051,0.052,,,7574,1856,0.327,0.92
MDDadult-casevsCN,R-transversetemporal,-0.021,0.044,,,7656,1901,0.625,0.92
MDDadult-casevsCN,R-insula,-0.004,0.051,,,7641,1889,0.936,0.949
