SurfaceArea,Structure,d-icv,se-icv,low-ci-icv,up-ci-icv,n-controls,n-patients,pobs,fdr-p
MDDadult-casevsCN-firstepisode,L-bankssts,-0.038,0.059,,,7115,497,0.517,0.986
MDDadult-casevsCN-firstepisode,L-caudalanteriorcingulate,-0.039,0.049,,,7186,529,0.417,0.986
MDDadult-casevsCN-firstepisode,L-caudalmiddlefrontal,0.008,0.088,,,7201,528,0.926,0.986
MDDadult-casevsCN-firstepisode,L-cuneus,0.002,0.054,,,7225,530,0.966,0.986
MDDadult-casevsCN-firstepisode,L-entorhinal,0.021,0.049,,,7079,514,0.677,0.986
MDDadult-casevsCN-firstepisode,L-fusiform,0.047,0.056,,,7107,518,0.399,0.986
MDDadult-casevsCN-firstepisode,L-inferiorparietal,0.014,0.057,,,7187,524,0.806,0.986
MDDadult-casevsCN-firstepisode,L-inferiortemporal,0.073,0.065,,,7241,532,0.263,0.986
MDDadult-casevsCN-firstepisode,L-isthmuscingulate,0.005,0.056,,,7237,534,0.933,0.986
MDDadult-casevsCN-firstepisode,L-lateraloccipital,-0.009,0.048,,,7230,530,0.856,0.986
MDDadult-casevsCN-firstepisode,L-lateralorbitofrontal,0.021,0.082,,,7250,534,0.795,0.986
MDDadult-casevsCN-firstepisode,L-lingual,-0.036,0.049,,,7236,530,0.46,0.986
MDDadult-casevsCN-firstepisode,L-medialorbitofrontal,0.006,0.083,,,7168,522,0.945,0.986
MDDadult-casevsCN-firstepisode,L-middletemporal,-0.018,0.067,,,7148,513,0.784,0.986
MDDadult-casevsCN-firstepisode,L-parahippocampal,0.051,0.049,,,7195,530,0.296,0.986
MDDadult-casevsCN-firstepisode,L-paracentral,-0.02,0.091,,,7143,517,0.829,0.986
MDDadult-casevsCN-firstepisode,L-parsopercularis,-0.033,0.086,,,7217,529,0.7,0.986
MDDadult-casevsCN-firstepisode,L-parsorbitalis,0.06,0.069,,,7243,535,0.38,0.986
MDDadult-casevsCN-firstepisode,L-parstriangularis,-0.068,0.079,,,7230,534,0.386,0.986
MDDadult-casevsCN-firstepisode,L-pericalcarine,-0.056,0.048,,,7249,534,0.249,0.986
