CorticalThickness,Structure,d-icv,se-icv,low-ci-icv,up-ci-icv,n-controls,n-patients,pobs,fdr-p
MDDadult-casevsCN-early,L-bankssts,-0.051,0.055,,,2814,442,0.355,0.65
MDDadult-casevsCN-early,L-caudalanteriorcingulate,0.025,0.053,,,2878,472,0.645,0.829
MDDadult-casevsCN-early,L-caudalmiddlefrontal,-0.014,0.077,,,2874,471,0.856,0.909
MDDadult-casevsCN-early,L-cuneus,0.027,0.053,,,2883,472,0.616,0.813
MDDadult-casevsCN-early,L-entorhinal,-0.009,0.054,,,2853,464,0.864,0.909
MDDadult-casevsCN-early,L-fusiform,-0.098,0.054,,,2873,468,0.069,0.402
MDDadult-casevsCN-early,L-inferiorparietal,-0.094,0.053,,,2867,471,0.078,0.419
MDDadult-casevsCN-early,L-inferiortemporal,-0.047,0.075,,,2863,462,0.53,0.757
MDDadult-casevsCN-early,L-isthmuscingulate,-0.09,0.089,,,2882,472,0.312,0.65
MDDadult-casevsCN-early,L-lateraloccipital,-0.064,0.07,,,2872,472,0.362,0.65
MDDadult-casevsCN-early,L-lateralorbitofrontal,-0.06,0.081,,,2865,472,0.463,0.736
MDDadult-casevsCN-early,L-lingual,-0.046,0.065,,,2867,470,0.48,0.739
MDDadult-casevsCN-early,L-medialorbitofrontal,-0.103,0.062,,,2842,470,0.097,0.426
MDDadult-casevsCN-early,L-middletemporal,-0.102,0.054,,,2833,450,0.062,0.402
MDDadult-casevsCN-early,L-parahippocampal,-0.061,0.075,,,2879,471,0.42,0.718
MDDadult-casevsCN-early,L-paracentral,-0.042,0.053,,,2877,472,0.433,0.722
MDDadult-casevsCN-early,L-parsopercularis,-0.087,0.06,,,2882,472,0.144,0.528
MDDadult-casevsCN-early,L-parsorbitalis,-0.142,0.053,,,2880,472,0.008,0.277
MDDadult-casevsCN-early,L-parstriangularis,-0.124,0.053,,,2879,472,0.02,0.331
MDDadult-casevsCN-early,L-pericalcarine,0.086,0.079,,,2872,471,0.273,0.65
MDDadult-casevsCN-early,L-postcentral,-0.021,0.053,,,2858,471,0.691,0.858
MDDadult-casevsCN-early,L-posteriorcingulate,-0.063,0.061,,,2882,471,0.305,0.65
MDDadult-casevsCN-early,L-precentral,-0.078,0.079,,,2867,470,0.322,0.65
MDDadult-casevsCN-early,L-precuneus,-0.06,0.053,,,2876,470,0.264,0.65
MDDadult-casevsCN-early,L-rostralanteriorcingulate,-0.074,0.065,,,2883,472,0.255,0.65
MDDadult-casevsCN-early,L-rostralmiddlefrontal,-0.134,0.064,,,2881,472,0.036,0.331
MDDadult-casevsCN-early,L-superiorfrontal,-0.107,0.053,,,2879,472,0.046,0.358
MDDadult-casevsCN-early,L-superiorparietal,-0.062,0.053,,,2872,471,0.244,0.65
MDDadult-casevsCN-early,L-superiortemporal,0.071,0.081,,,2793,444,0.378,0.661
MDDadult-casevsCN-early,L-supramarginal,-0.048,0.063,,,2845,467,0.45,0.732
MDDadult-casevsCN-early,L-frontalpole,0.029,0.075,,,2883,472,0.699,0.858
MDDadult-casevsCN-early,L-temporalpole,0.051,0.079,,,2842,456,0.523,0.757
MDDadult-casevsCN-early,L-transversetemporal,-0.024,0.053,,,2863,471,0.651,0.829
MDDadult-casevsCN-early,L-insula,-0.052,0.053,,,2883,472,0.327,0.65
MDDadult-casevsCN-early,R-bankssts,-0.12,0.055,,,2847,452,0.027,0.331
MDDadult-casevsCN-early,R-caudalanteriorcingulate,-0.056,0.053,,,2884,471,0.294,0.65
MDDadult-casevsCN-early,R-caudalmiddlefrontal,0.01,0.075,,,2877,472,0.896,0.909
MDDadult-casevsCN-early,R-cuneus,0.029,0.053,,,2883,470,0.587,0.813
MDDadult-casevsCN-early,R-entorhinal,-0.028,0.054,,,2849,461,0.609,0.813
MDDadult-casevsCN-early,R-fusiform,-0.112,0.054,,,2876,469,0.036,0.331
MDDadult-casevsCN-early,R-inferiorparietal,-0.116,0.053,,,2870,471,0.029,0.331
MDDadult-casevsCN-early,R-inferiortemporal,-0.184,0.057,,,2867,463,0.001,0.08
MDDadult-casevsCN-early,R-isthmuscingulate,-0.012,0.067,,,2881,472,0.859,0.909
MDDadult-casevsCN-early,R-lateraloccipital,-0.083,0.065,,,2877,470,0.205,0.573
MDDadult-casevsCN-early,R-lateralorbitofrontal,-0.094,0.066,,,2872,472,0.158,0.528
MDDadult-casevsCN-early,R-lingual,-0.075,0.057,,,2869,470,0.193,0.563
MDDadult-casevsCN-early,R-medialorbitofrontal,-0.148,0.089,,,2859,470,0.095,0.426
MDDadult-casevsCN-early,R-middletemporal,-0.112,0.054,,,2869,464,0.038,0.331
MDDadult-casevsCN-early,R-parahippocampal,-0.037,0.053,,,2882,471,0.494,0.739
MDDadult-casevsCN-early,R-paracentral,0.016,0.055,,,2880,472,0.765,0.893
MDDadult-casevsCN-early,R-parsopercularis,0.011,0.06,,,2881,470,0.856,0.909
MDDadult-casevsCN-early,R-parsorbitalis,-0.145,0.079,,,2884,472,0.065,0.402
MDDadult-casevsCN-early,R-parstriangularis,0.011,0.068,,,2876,471,0.867,0.909
MDDadult-casevsCN-early,R-pericalcarine,-0.013,0.066,,,2863,471,0.85,0.909
MDDadult-casevsCN-early,R-postcentral,0.027,0.053,,,2869,471,0.614,0.813
MDDadult-casevsCN-early,R-posteriorcingulate,7.64E-03,0.053,,,2881,471,0.886,0.909
MDDadult-casevsCN-early,R-precentral,-0.09,0.056,,,2871,469,0.108,0.435
MDDadult-casevsCN-early,R-precuneus,-0.051,0.053,,,2874,472,0.338,0.65
MDDadult-casevsCN-early,R-rostralanteriorcingulate,-0.025,0.077,,,2882,472,0.75,0.893
MDDadult-casevsCN-early,R-rostralmiddlefrontal,-0.099,0.097,,,2877,471,0.312,0.65
MDDadult-casevsCN-early,R-superiorfrontal,-0.094,0.066,,,2876,472,0.153,0.528
MDDadult-casevsCN-early,R-superiorparietal,-0.006,0.053,,,2872,471,0.911,0.911
MDDadult-casevsCN-early,R-superiortemporal,-0.02,0.065,,,2824,439,0.761,0.893
MDDadult-casevsCN-early,R-supramarginal,-0.092,0.055,,,2864,464,0.091,0.426
MDDadult-casevsCN-early,R-frontalpole,-0.111,0.084,,,2885,472,0.187,0.563
MDDadult-casevsCN-early,R-temporalpole,0.044,0.065,,,2859,456,0.496,0.739
MDDadult-casevsCN-early,R-transversetemporal,-0.009,0.061,,,2849,472,0.882,0.909
MDDadult-casevsCN-early,R-insula,-0.049,0.053,,,2884,472,0.36,0.65
