CorticalThickness,Structure,d-icv,se-icv,low-ci-icv,up-ci-icv,n-controls,n-patients,pobs,fdr-p
MDDadult-casevsCN-firstepisode,L-bankssts,-0.108,0.049,,,7195,512,0.028,0.116
MDDadult-casevsCN-firstepisode,L-caudalanteriorcingulate,-0.078,0.065,,,7246,534,0.231,0.385
MDDadult-casevsCN-firstepisode,L-caudalmiddlefrontal,-0.045,0.063,,,7243,534,0.468,0.618
MDDadult-casevsCN-firstepisode,L-cuneus,0.036,0.058,,,7251,534,0.534,0.634
MDDadult-casevsCN-firstepisode,L-entorhinal,-0.06,0.057,,,7240,535,0.293,0.446
MDDadult-casevsCN-firstepisode,L-fusiform,-0.158,0.048,,,7249,535,0.001,0.018
MDDadult-casevsCN-firstepisode,L-inferiorparietal,-0.074,0.065,,,7238,533,0.255,0.404
MDDadult-casevsCN-firstepisode,L-inferiortemporal,-0.066,0.081,,,7248,533,0.414,0.579
MDDadult-casevsCN-firstepisode,L-isthmuscingulate,-0.095,0.048,,,7251,535,0.05,0.159
MDDadult-casevsCN-firstepisode,L-lateraloccipital,0.005,0.048,,,7242,535,0.913,0.94
MDDadult-casevsCN-firstepisode,L-lateralorbitofrontal,-0.093,0.048,,,7233,534,0.056,0.162
MDDadult-casevsCN-firstepisode,L-lingual,-0.026,0.048,,,7236,530,0.598,0.698
MDDadult-casevsCN-firstepisode,L-medialorbitofrontal,-0.131,0.048,,,7222,532,0.007,0.05
MDDadult-casevsCN-firstepisode,L-middletemporal,-0.104,0.049,,,7212,523,0.032,0.125
MDDadult-casevsCN-firstepisode,L-parahippocampal,-0.058,0.078,,,7251,534,0.457,0.615
MDDadult-casevsCN-firstepisode,L-paracentral,0.003,0.079,,,7246,534,0.967,0.981
MDDadult-casevsCN-firstepisode,L-parsopercularis,-0.078,0.048,,,7252,533,0.108,0.26
MDDadult-casevsCN-firstepisode,L-parsorbitalis,-0.061,0.048,,,7249,535,0.203,0.364
MDDadult-casevsCN-firstepisode,L-parstriangularis,-0.055,0.048,,,7247,535,0.25,0.404
MDDadult-casevsCN-firstepisode,L-pericalcarine,0.073,0.055,,,7240,534,0.182,0.339
MDDadult-casevsCN-firstepisode,L-postcentral,0.011,0.048,,,7227,535,0.827,0.89
MDDadult-casevsCN-firstepisode,L-posteriorcingulate,-0.093,0.048,,,7251,535,0.054,0.162
MDDadult-casevsCN-firstepisode,L-precentral,-0.031,0.048,,,7238,533,0.518,0.634
MDDadult-casevsCN-firstepisode,L-precuneus,0.007,0.048,,,7244,531,0.885,0.925
MDDadult-casevsCN-firstepisode,L-rostralanteriorcingulate,-0.141,0.048,,,7251,535,0.004,0.049
MDDadult-casevsCN-firstepisode,L-rostralmiddlefrontal,-0.059,0.048,,,7250,534,0.22,0.375
