SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_early,n_late,pobs,fdr_p
MDDadult_earlyvslate,L_bankssts,-0.017,0.062,,,429,998,0.781,0.961
MDDadult_earlyvslate,L_caudalanteriorcingulate,-0.12,0.06,,,456,1076,0.045,0.521
MDDadult_earlyvslate,L_caudalmiddlefrontal,-0.033,0.06,,,459,1074,0.585,0.961
MDDadult_earlyvslate,L_cuneus,-0.048,0.07,,,462,1079,0.494,0.961
MDDadult_earlyvslate,L_entorhinal,0.026,0.08,,,445,1047,0.744,0.961
MDDadult_earlyvslate,L_fusiform,-0.033,0.06,,,451,1059,0.582,0.961
MDDadult_earlyvslate,L_inferiorparietal,-0.16,0.06,,,455,1072,0.008,0.271
MDDadult_earlyvslate,L_inferiortemporal,-0.134,0.06,,,451,1076,0.027,0.464
MDDadult_earlyvslate,L_isthmuscingulate,-0.054,0.06,,,461,1084,0.364,0.961
MDDadult_earlyvslate,L_lateraloccipital,-0.066,0.06,,,461,1081,0.269,0.961
MDDadult_earlyvslate,L_lateralorbitofrontal,-0.039,0.087,,,462,1087,0.655,0.961
MDDadult_earlyvslate,L_lingual,-0.015,0.059,,,462,1081,0.795,0.961
MDDadult_earlyvslate,L_medialorbitofrontal,-0.062,0.06,,,452,1068,0.305,0.961
MDDadult_earlyvslate,L_middletemporal,-0.125,0.061,,,438,1036,0.04,0.521
MDDadult_earlyvslate,L_parahippocampal,0.046,0.06,,,457,1074,0.439,0.961
MDDadult_earlyvslate,L_paracentral,-0.068,0.06,,,461,1053,0.253,0.961
MDDadult_earlyvslate,L_parsopercularis,-0.018,0.115,,,461,1078,0.878,0.977
MDDadult_earlyvslate,L_parsorbitalis,-0.026,0.059,,,462,1087,0.657,0.961
MDDadult_earlyvslate,L_parstriangularis,-0.006,0.061,,,462,1083,0.92,0.978
MDDadult_earlyvslate,L_pericalcarine,0.015,0.06,,,462,1086,0.797,0.961
MDDadult_earlyvslate,L_postcentral,-0.006,0.06,,,455,1062,0.919,0.978
MDDadult_earlyvslate,L_posteriorcingulate,-0.1,0.06,,,461,1084,0.092,0.802
MDDadult_earlyvslate,L_precentral,-0.027,0.06,,,458,1072,0.656,0.961
MDDadult_earlyvslate,L_precuneus,0.018,0.089,,,461,1083,0.838,0.961
MDDadult_earlyvslate,L_rostralanteriorcingulate,0.049,0.06,,,450,1063,0.418,0.961
MDDadult_earlyvslate,L_rostralmiddlefrontal,-0.035,0.06,,,461,1084,0.556,0.961
MDDadult_earlyvslate,L_superiorfrontal,-0.062,0.07,,,456,1072,0.378,0.961
