SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
OCDadult_casevsCN,Laccumb,-0.041,0.04,-0.12,0.037,"1,446","1,465",0.305,
OCDadult_casevsCN,Lamyg,-0.108,0.05,-0.206,0.01,"1,418","1,452",0.031,
OCDadult_casevsCN,Lcaud,0.032,0.038,-0.043,0.107,"1,424","1,441",0.399,
OCDadult_casevsCN,Lhippo,-0.135,0.048,-0.229,0.04,"1,440","1,444",5.08E-03,
OCDadult_casevsCN,Lpal,0.16,0.051,0.061,0.259,"1,312","1,336",1.60E-03,
OCDadult_casevsCN,Lput,0.017,0.044,-0.07,0.103,"1,335","1,365",0.704,
OCDadult_casevsCN,Lthal,-0.079,0.042,-0.162,0.005,"1,387","1,375",0.064,
OCDadult_casevsCN,LLatVent,0.108,0.063,-0.016,0.231,"1,466","1,491",0.087,
OCDadult_casevsCN,Raccumb,-0.041,0.04,-0.12,0.037,"1,446","1,465",0.305,
OCDadult_casevsCN,Ramyg,-0.108,0.05,-0.206,0.01,"1,418","1,452",0.031,
OCDadult_casevsCN,Rcaud,0.032,0.038,-0.043,0.107,"1,424","1,441",0.399,
OCDadult_casevsCN,Rhippo,-0.135,0.048,-0.229,0.04,"1,440","1,444",5.08E-03,
OCDadult_casevsCN,Rpal,0.16,0.051,0.061,0.259,"1,312","1,336",1.60E-03,
OCDadult_casevsCN,Rput,0.017,0.044,-0.07,0.103,"1,335","1,365",0.704,
OCDadult_casevsCN,Rthal,-0.079,0.042,-0.162,0.005,"1,387","1,375",0.064,
OCDadult_casevsCN,RLatVent,0.108,0.063,-0.016,0.231,"1,466","1,491",0.087,
