SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
OCDadult_casevsCN_noanxiety,Laccumb,-0.07,0.05,-0.167,0.027,1150,995,0.16,
OCDadult_casevsCN_noanxiety,Lamyg,-0.143,0.053,-0.246,-0.04,1125,996,0.007,
OCDadult_casevsCN_noanxiety,Lcaud,0.001,0.044,-0.086,0.088,1143,989,0.979,
OCDadult_casevsCN_noanxiety,Lhippo,-0.199,0.052,-0.301,-0.096,1150,990,1.51E-04,
OCDadult_casevsCN_noanxiety,Lpal,0.167,0.059,0.051,0.282,1064,943,4.70E-03,
OCDadult_casevsCN_noanxiety,Lput,-0.023,0.045,-0.111,0.066,1087,966,0.616,
OCDadult_casevsCN_noanxiety,Lthal,-0.088,0.056,-0.197,0.021,1103,963,0.113,
OCDadult_casevsCN_noanxiety,LLatVent,0.14,0.081,-0.019,0.299,1164,1011,0.085,
OCDadult_casevsCN_noanxiety,Raccumb,-0.07,0.05,-0.167,0.027,1150,995,0.16,
OCDadult_casevsCN_noanxiety,Ramyg,-0.143,0.053,-0.246,-0.04,1125,996,0.007,
OCDadult_casevsCN_noanxiety,Rcaud,0.001,0.044,-0.086,0.088,1143,989,0.979,
OCDadult_casevsCN_noanxiety,Rhippo,-0.199,0.052,-0.301,-0.096,1150,990,1.51E-04,
OCDadult_casevsCN_noanxiety,Rpal,0.167,0.059,0.051,0.282,1064,943,4.70E-03,
OCDadult_casevsCN_noanxiety,Rput,-0.023,0.045,-0.111,0.066,1087,966,0.616,
OCDadult_casevsCN_noanxiety,Rthal,-0.088,0.056,-0.197,0.021,1103,963,0.113,
OCDadult_casevsCN_noanxiety,RLatVent,0.14,0.081,-0.019,0.299,1164,1011,0.085,
