SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_unmedicated,n_medicated,pobs,fdr_p
OCDadult_medicatedcasevsunmedicatedcase,Laccumb,-0.038,0.116,-0.265,0.189,335,306,0.745,
OCDadult_medicatedcasevsunmedicatedcase,Lamyg,0.031,0.116,-0.196,0.258,329,303,0.79,
OCDadult_medicatedcasevsunmedicatedcase,Lcaud,0.078,0.109,-0.136,0.293,337,308,0.473,
OCDadult_medicatedcasevsunmedicatedcase,Lhippo,-0.187,0.082,-0.348,-0.025,332,303,0.023,
OCDadult_medicatedcasevsunmedicatedcase,Lpal,0.201,0.116,-0.027,0.428,325,293,0.085,
OCDadult_medicatedcasevsunmedicatedcase,Lput,0.179,0.137,-0.089,0.447,325,295,0.19,
OCDadult_medicatedcasevsunmedicatedcase,Lthal,0.046,0.083,-0.116,0.209,327,300,0.576,
OCDadult_medicatedcasevsunmedicatedcase,LLatVent,0.216,0.141,-0.061,0.492,341,311,0.126,
OCDadult_medicatedcasevsunmedicatedcase,Raccumb,-0.038,0.116,-0.265,0.189,335,306,0.745,
OCDadult_medicatedcasevsunmedicatedcase,Ramyg,0.031,0.116,-0.196,0.258,329,303,0.79,
OCDadult_medicatedcasevsunmedicatedcase,Rcaud,0.078,0.109,-0.136,0.293,337,308,0.473,
OCDadult_medicatedcasevsunmedicatedcase,Rhippo,-0.187,0.082,-0.348,-0.025,332,303,0.023,
OCDadult_medicatedcasevsunmedicatedcase,Rpal,0.201,0.116,-0.027,0.428,325,293,0.085,
OCDadult_medicatedcasevsunmedicatedcase,Rput,0.179,0.137,-0.089,0.447,325,295,0.19,
OCDadult_medicatedcasevsunmedicatedcase,Rthal,0.046,0.083,-0.116,0.209,327,300,0.576,
OCDadult_medicatedcasevsunmedicatedcase,RLatVent,0.216,0.141,-0.061,0.492,341,311,0.126,
