SuborticalVolume,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
OCDadult_unmedicatedcasevsCN,Laccumb,-0.004,0.05,-0.102,-0.093,1068,735,0.93,
OCDadult_unmedicatedcasevsCN,Lamyg,-0.109,0.073,-0.251,0.034,1056,726,0.134,
OCDadult_unmedicatedcasevsCN,Lcaud,-0.006,0.063,-0.13,0.118,1066,733,0.928,
OCDadult_unmedicatedcasevsCN,Lhippo,-0.065,0.05,-0.163,0.032,1066,725,0.189,
OCDadult_unmedicatedcasevsCN,Lpal,0.089,0.065,-0.039,0.216,983,688,0.172,
OCDadult_unmedicatedcasevsCN,Lput,-0.071,0.051,-0.171,0.029,998,700,0.163,
OCDadult_unmedicatedcasevsCN,Lthal,-0.043,0.05,-0.142,0.055,1054,714,0.387,
OCDadult_unmedicatedcasevsCN,LLatVent,0.063,0.094,-0.121,0.247,1079,744,0.503,
OCDadult_unmedicatedcasevsCN,Raccumb,-0.004,0.05,-0.102,-0.093,1068,735,0.93,
OCDadult_unmedicatedcasevsCN,Ramyg,-0.109,0.073,-0.251,0.034,1056,726,0.134,
OCDadult_unmedicatedcasevsCN,Rcaud,-0.006,0.063,-0.13,0.118,1066,733,0.928,
OCDadult_unmedicatedcasevsCN,Rhippo,-0.065,0.05,-0.163,0.032,1066,725,0.189,
OCDadult_unmedicatedcasevsCN,Rpal,0.089,0.065,-0.039,0.216,983,688,0.172,
OCDadult_unmedicatedcasevsCN,Rput,-0.071,0.051,-0.171,0.029,998,700,0.163,
OCDadult_unmedicatedcasevsCN,Rthal,-0.043,0.05,-0.142,0.055,1054,714,0.387,
OCDadult_unmedicatedcasevsCN,RLatVent,0.063,0.094,-0.121,0.247,1079,744,0.503,
