SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
OCDadults_casevsCN,L_bankssts,0.022,5.722,,,1282,1356,0.58,0.894
OCDadults_casevsCN,L_caudalanteriorcingulate,0.017,4.565,,,1413,1472,0.646,0.894
OCDadults_casevsCN,L_caudalmiddlefrontal,-0.04,11.981,,,1427,1477,0.287,0.878
OCDadults_casevsCN,L_cuneus,-0.023,6.747,,,1402,1464,0.536,0.878
OCDadults_casevsCN,L_entorhinal,-0.013,2.827,,,1316,1381,0.742,0.927
OCDadults_casevsCN,L_fusiform,0.028,12.95,,,1426,1487,0.451,0.878
OCDadults_casevsCN,L_inferiorparietal,0.036,19.456,,,1363,1433,0.346,0.878
OCDadults_casevsCN,L_inferiortemporal,-0.023,14.447,,,1382,1469,0.536,0.878
OCDadults_casevsCN,L_isthmuscingulate,-0.02,5.553,,,1429,1491,0.593,0.894
OCDadults_casevsCN,L_lateraloccipital,-0.045,17.391,,,1417,1479,0.232,0.787
OCDadults_casevsCN,L_lateralorbitofrontal,-0.048,8.563,,,1431,1493,0.193,0.726
OCDadults_casevsCN,L_lingual,-0.026,13.305,,,1425,1489,0.479,0.878
OCDadults_casevsCN,L_medialorbitofrontal,-0.003,7.493,,,1428,1489,0.938,0.984
OCDadults_casevsCN,L_middletemporal,0.008,12.096,,,1319,1366,0.83,0.96
OCDadults_casevsCN,L_parahippocampal,0.051,3.563,,,1422,1488,0.175,0.726
OCDadults_casevsCN,L_paracentral,-0.016,5.992,,,1428,1489,0.672,0.896
OCDadults_casevsCN,L_parsopercularis,-0.087,9.133,,,1425,1488,0.02,0.275
OCDadults_casevsCN,L_parsorbitalis,-0.032,2.667,,,1429,1488,0.395,0.878
OCDadults_casevsCN,L_parstriangularis,-0.095,6.525,,,1432,1490,0.011,0.188
OCDadults_casevsCN,L_pericalcarine,-0.014,7.519,,,1404,1481,0.713,0.927
OCDadults_casevsCN,L_postcentral,-0.071,14.638,,,1401,1464,0.059,0.543
OCDadults_casevsCN,L_posteriorcingulate,-0.025,5.628,,,1429,1491,0.494,0.878
OCDadults_casevsCN,L_precentral,0.002,15.082,,,1406,1470,0.951,0.984
OCDadults_casevsCN,L_precuneus,0.034,13.018,,,1424,1492,0.357,0.878
OCDadults_casevsCN,L_rostralanteriorcingulate,-0.004,4.868,,,1413,1472,0.91,0.982
OCDadults_casevsCN,L_rostralmiddlefrontal,0.001,20.755,,,1427,1484,0.991,0.991
