CorticalThickness,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
OCDadults_casevsCN,L_bankssts,-0.06,0.006999999999999999,,,1284,1357,0.12300000000000001,0.239
OCDadults_casevsCN,L_caudalanteriorcingulate,0.003,0.011000000000000001,,,1415,1473,0.93,0.943
OCDadults_casevsCN,L_caudalmiddlefrontal,-0.09,0.006,,,1429,1478,0.016,0.077
OCDadults_casevsCN,L_cuneus,-0.042,0.005,,,1404,1465,0.258,0.39299999999999996
OCDadults_casevsCN,L_entorhinal,-0.062,0.013999999999999999,,,1318,1381,0.11,0.22899999999999998
OCDadults_casevsCN,L_fusiform,-0.109,0.005,,,1428,1488,0.004,0.057999999999999996
OCDadults_casevsCN,L_inferiorparietal,-0.14,0.005,,,1364,1434,0.00022799999999999999,0.008
OCDadults_casevsCN,L_inferiortemporal,-0.087,0.006,,,1383,1470,0.021,0.086
OCDadults_casevsCN,L_isthmuscingulate,-0.068,0.008,,,1431,1492,0.066,0.17
OCDadults_casevsCN,L_lateraloccipital,-0.07400000000000001,0.005,,,1419,1480,0.046,0.14300000000000002
OCDadults_casevsCN,L_lateralorbitofrontal,-0.096,0.006,,,1433,1494,0.01,0.067
OCDadults_casevsCN,L_lingual,-0.052000000000000005,0.005,,,1427,1490,0.16,0.285
OCDadults_casevsCN,L_medialorbitofrontal,-0.084,0.006999999999999999,,,1430,1490,0.024,0.092
OCDadults_casevsCN,L_middletemporal,-0.09300000000000001,0.006,,,1320,1367,0.017,0.077
OCDadults_casevsCN,L_parahippocampal,-0.059000000000000004,0.012,,,1424,1489,0.115,0.22899999999999998
OCDadults_casevsCN,L_paracentral,-0.013000000000000001,0.006,,,1430,1490,0.7290000000000001,0.823
OCDadults_casevsCN,L_parsopercularis,-0.083,0.006,,,1427,1489,0.027000000000000003,0.098
OCDadults_casevsCN,L_parsorbitalis,-0.05,0.008,,,1431,1489,0.18100000000000002,0.308
