SurfaceArea,Structure,d_icv,se_icv,low_ci_icv,up_ci_icv,n_controls,n_patients,pobs,fdr_p
OCDpediatric_medicatedcasesvsCN,L_bankssts,0.017,17.174,,,297,159,0.868,0.937
OCDpediatric_medicatedcasesvsCN,L_caudalanteriorcingulate,-0.144,12.832,,,316,180,0.129,0.339
OCDpediatric_medicatedcasesvsCN,L_caudalmiddlefrontal,-0.106,34.999,,,321,182,0.263,0.47
OCDpediatric_medicatedcasesvsCN,L_cuneus,-0.118,18.699,,,320,180,0.212,0.438
OCDpediatric_medicatedcasesvsCN,L_entorhinal,0.006,7.613,,,287,171,0.953,0.982
OCDpediatric_medicatedcasesvsCN,L_frontalpole,0.039,3.476,,,323,182,0.676,0.827
OCDpediatric_medicatedcasesvsCN,L_fusiform,-0.043,35.748,,,314,178,0.649,0.827
OCDpediatric_medicatedcasesvsCN,L_inferiorparietal,-0.176,52.117,,,301,172,0.071,0.237
OCDpediatric_medicatedcasesvsCN,L_inferiortemporal,0.036,43.414,,,315,176,0.707,0.844
OCDpediatric_medicatedcasesvsCN,L_insula,-0.125,21.593,,,315,170,0.195,0.415
OCDpediatric_medicatedcasesvsCN,L_isthmuscingulate,-0.001,14.652,,,322,178,0.993,0.993
OCDpediatric_medicatedcasesvsCN,L_lateraloccipital,-0.127,48.29,,,319,180,0.182,0.399
OCDpediatric_medicatedcasesvsCN,L_lateralorbitofrontal,-0.22,26.497,,,324,181,0.02,0.173
OCDpediatric_medicatedcasesvsCN,L_lingual,-0.053,38.439,,,321,180,0.579,0.82
OCDpediatric_medicatedcasesvsCN,L_medialorbitofrontal,-0.314,21.557,,,320,178,0.001,0.035
OCDpediatric_medicatedcasesvsCN,L_middletemporal,-0.163,30.967,,,309,172,0.093,0.274
OCDpediatric_medicatedcasesvsCN,L_paracentral,-0.179,17.728,,,321,179,0.059,0.211
OCDpediatric_medicatedcasesvsCN,L_parahippocampal,0.041,10.538,,,317,174,0.673,0.827
OCDpediatric_medicatedcasesvsCN,L_parsopercularis,-0.086,24.325,,,319,179,0.364,0.604
OCDpediatric_medicatedcasesvsCN,L_parsorbitalis,-0.128,8.094,,,322,181,0.174,0.395
OCDpediatric_medicatedcasesvsCN,L_parstriangularis,0.008,18.768,,,321,179,0.936,0.979
OCDpediatric_medicatedcasesvsCN,L_pericalcarine,-0.144,21.763,,,320,178,0.13,0.339
OCDpediatric_medicatedcasesvsCN,L_postcentral,-0.196,40.052,,,312,181,0.04,0.184
OCDpediatric_medicatedcasesvsCN,L_posteriorcingulate,-0.201,16.963,,,320,180,0.035,0.184
OCDpediatric_medicatedcasesvsCN,L_precentral,-0.013,41.175,,,313,181,0.891,0.946
OCDpediatric_medicatedcasesvsCN,L_precuneus,-0.216,38.36,,,320,180,0.023,0.174
OCDpediatric_medicatedcasesvsCN,L_rostralanteriorcingulate,-0.155,13.939,,,316,177,0.104,0.295
OCDpediatric_medicatedcasesvsCN,L_rostralmiddlefrontal,-0.29,60.285,,,321,182,0.002,0.038
OCDpediatric_medicatedcasesvsCN,L_superiorfrontal,-0.192,61.293,,,316,178,0.044,0.184
OCDpediatric_medicatedcasesvsCN,L_superiorparietal,-0.192,52.199,,,317,182,0.043,0.184
OCDpediatric_medicatedcasesvsCN,L_superiortemporal,0.028,36.296,,,304,172,0.772,0.89
